コード	前	後
JP-PRTR-C1-232	二・六―ジ―ターシャリ―ブチル―四―クレゾール	２，６－ジ－ターシャリ－ブチル－４－クレゾール
JP-PRTR-C1-233	四―（二・二―ジフルオロ―一・三―ベンゾジオキソール―四―イル）―一Ｈ―ピロール―三―カルボニトリル（別名フルジオキソニル）	４－（２，２－ジフルオロ－１，３－ベンゾジオキソール－４－イル）－１Ｈ－ピロール－３－カルボニトリル（別名フルジオキソニル）
JP-PRTR-C1-234	Ｎ・Ｎ―ジプロピルチオカルバミン酸＝Ｓ―ベンジル（別名プロスルホカルブ）	Ｎ，Ｎ－ジプロピルチオカルバミン酸＝Ｓ－ベンジル（別名プロスルホカルブ）
JP-PRTR-C1-235	一・二―ジブロモエタン（別名二臭化エチレン又はＥＤＢ）	１，２－ジブロモエタン（別名二臭化エチレン又はＥＤＢ）
JP-PRTR-C1-237	二・二―ジブロモ―二―シアノアセトアミド	２，２－ジブロモ－２－シアノアセトアミド
JP-PRTR-C1-238	ジブロモテトラフルオロエタン（別名ハロン―二四〇二）	ジブロモテトラフルオロエタン（別名ハロン－２４０２）
JP-PRTR-C1-239	二′・六′―ジブロモ―二―メチル―四′―トリフルオロメトキシ―四―トリフルオロメチル―一・三―チアゾール―五―カルボキサニリド（別名チフルザミド）	２’・６’－ジブロモ－２－メチル－４’－トリフルオロメトキシ－４－トリフルオロメチル－１，３－チアゾール－５－カルボキサニリド（別名チフルザミド）
JP-PRTR-C1-241	（ＲＳ）―Ｏ・Ｓ―ジメチル＝アセチルホスホルアミドチオアート（別名アセフェート）	（ＲＳ）－Ｏ，Ｓ－ジメチル＝アセチルホスホルアミドチオアート（別名アセフェート）
JP-PRTR-C1-242	Ｎ・Ｎ―ジメチルアセトアミド	Ｎ，Ｎ－ジメチルアセトアミド
JP-PRTR-C1-243	五―ジメチルアミノ―一・二・三―トリチアン（別名チオシクラム）	５－ジメチルアミノ－１，２，３－トリチアン（別名チオシクラム）
JP-PRTR-C1-244	（四Ｓ・四ａＲ・五Ｓ・五ａＲ・六Ｓ・一二ａＳ）―四―（ジメチルアミノ）―三・五・六・一〇・一二・一二ａ―ヘキサヒドロキシ―六―メチル―一・一一―ジオキソ―一・四・四ａ・五・五ａ・六・一一・一二ａ―オクタヒドロテトラセン―二―カルボキサミド（別名オキシテトラサイクリン）	（４Ｓ，４ａＲ，５Ｓ，５ａＲ，６Ｓ，１２ａＳ）－４－（ジメチルアミノ）－３，５，６，１０，１２，１２ａ－ヘキサヒドロキシ－６－メチル－１，１１－ジオキソ－１，４，４ａ，５，５ａ，６，１１，１２ａ－オクタヒドロテトラセン－２－カルボキサミド（別名オキシテトラサイクリン）
JP-PRTR-C1-246	三―（三・三―ジメチルウレイド）フェニル＝ターシャリ―ブチルカルバマート（別名カルブチレート）	３－（３，３－ジメチルウレイド）フェニル＝ターシャリ－ブチルカルバマート（別名カルブチレート）
JP-PRTR-C1-247	（二Ｅ）―三・七―ジメチルオクタ―二・六―ジエニル＝アセタート（別名酢酸ゲラニル）	（２Ｅ）－３，７－ジメチルオクタ－２，６－ジエニル＝アセタート（別名酢酸ゲラニル）
JP-PRTR-C1-248	Ｎ・Ｎ―ジメチルオクタデシルアミン	Ｎ，Ｎ－ジメチルオクタデシルアミン
JP-PRTR-C1-249	三・七―ジメチルオクタン―三―オール	３，７－ジメチルオクタン－３－オール
JP-PRTR-C1-251	二・二―ジメチル―二・三―ジヒドロ―一―ベンゾフラン―七―イル＝Ｎ―［Ｎ―（二―エトキシカルボニルエチル）―Ｎ―イソプロピルスルフェナモイル］―Ｎ―メチルカルバマート（別名ベンフラカルブ）	２，２－ジメチル－２，３－ジヒドロ－１－ベンゾフラン－７－イル＝Ｎ－［Ｎ－（２－エトキシカルボニルエチル）－Ｎ－イソプロピルスルフェナモイル］－Ｎ－メチルカルバマート（別名ベンフラカルブ）
JP-PRTR-C1-252	Ｎ・Ｎ―ジメチルドデシルアミン	Ｎ，Ｎ－ジメチルドデシルアミン
JP-PRTR-C1-253	Ｎ・Ｎ―ジメチルドデシルアミン＝Ｎ―オキシド	Ｎ，Ｎ－ジメチルドデシルアミン＝Ｎ－オキシド
JP-PRTR-C1-254	ジメチル＝二・二・二―トリクロロ―一―ヒドロキシエチルホスホナート（別名トリクロルホン又はＤＥＰ）	ジメチル＝２，２，２－トリクロロ－１－ヒドロキシエチルホスホナート（別名トリクロルホン又はＤＥＰ）
JP-PRTR-C1-255	一・一′―ジメチル―四・四′―ビピリジニウム＝ジクロリド（別名パラコート又はパラコートジクロリド）	１，１’－ジメチル－４，４’－ビピリジニウム＝ジクロリド（別名パラコート又はパラコートジクロリド）
JP-PRTR-C1-256	ジメチル（一―フェニルエチル）ベンゼン	ジメチル（１－フェニルエチル）ベンゼン
JP-PRTR-C1-257	ジメチル＝四・四′―（オルト―フェニレン）ビス（三―チオアロファナート）（別名チオファネートメチル）	ジメチル＝４，４’－（オルト－フェニレン）ビス（３－チオアロファナート）（別名チオファネートメチル）
JP-PRTR-C1-258	三・三―ジメチルブタン酸＝三―メシチル―二―オキソ―一―オキサスピロ［四・四］ノナ―三―エン―四―イル（別名スピロメシフェン）	３，３－ジメチルブタン酸＝３－メシチル－２－オキソ－１－オキサスピロ［４．４］ノナ－３－エン－４－イル（別名スピロメシフェン）
JP-PRTR-C1-259	（ＲＳ）―Ｎ―［二―（一・三―ジメチルブチル）―三―チエニル］―一―メチル―三―（トリフルオロメチル）―一Ｈ―ピラゾール―四―カルボキサミド（別名ペンチオピラド）	（ＲＳ）－Ｎ－［２－（１，３－ジメチルブチル）－３－チエニル］－１－メチル－３－（トリフルオロメチル）－１Ｈ－ピラゾール－４－カルボキサミド（別名ペンチオピラド）
JP-PRTR-C1-260	Ｎ―（一・三―ジメチルブチル）―Ｎ′―フェニル―パラ―フェニレンジアミン	Ｎ－（１，３－ジメチルブチル）－Ｎ’－フェニル－パラ－フェニレンジアミン
JP-PRTR-C1-261	二′―［（ＲＳ）―一・三―ジメチルブチル］―五―フルオロ―一・三―ジメチルピラゾール―四―カルボキサニリド（別名ペンフルフェン）	２’－［（ＲＳ）－１．３－ジメチルブチル］－５－フルオロ－１，３－ジメチルピラゾール－４－カルボキサニリド（別名ペンフルフェン）
JP-PRTR-C1-262	二・二―ジメチルプロパン酸＝（Ｅ）―二―（四―ターシャリ―ブチルフェニル）―二―シアノ―一―（一・三・四―トリメチルピラゾール―五―イル）ビニル（別名シエノピラフェン）	２，２－ジメチルプロパン酸＝（Ｅ）－２－（４－ターシャリ－ブチルフェニル）－２－シアノ－１－（１，３，４－トリメチルピラゾール－５－イル）ビニル（別名シエノピラフェン）
JP-PRTR-C1-263	Ｎ―（一・二―ジメチルプロピル）―Ｎ―エチルチオカルバミン酸Ｓ―ベンジル（別名エスプロカルブ）	Ｎ－（１，２－ジメチルプロピル）－Ｎ－エチルチオカルバミン酸Ｓ－ベンジル（別名エスプロカルブ）
JP-PRTR-C1-264	Ｎ・Ｎ―ジメチルホルムアミド	Ｎ，Ｎ－ジメチルホルムアミド
JP-PRTR-C1-265	二・二―ジメチル―三―メチリデンビシクロ［二・二・一］ヘプタン（別名カンフェン）	２，２－ジメチル－３－メチリデンビシクロ［２．２．１］ヘプタン（別名カンフェン）
JP-PRTR-C1-266	Ｎ′―［一・一―ジメチル―二―（メチルスルホニル）エチル］―三―ヨード―Ｎ―［二―メチル―四―［一・二・二・二―テトラフルオロ―一―（トリフルオロメチル）エチル］フェニル］フタルアミド（別名フルベンジアミド）	Ｎ’－［１．１－ジメチル－２－（メチルスルホニル）エチル］－３－ヨード－Ｎ－［２－メチル－４－［１．２．２．２－テトラフルオロ－１－（トリフルオロメチル）エチル］フェニル］フタルアミド（別名フルベンジアミド）
JP-PRTR-C1-267	一・二―ジメトキシエタン	１，２－ジメトキシエタン
JP-PRTR-C1-268	アルファ―（四・六―ジメトキシ―二―ピリミジニルカルバモイルスルファモイル）―オルト―トルイル酸メチル（別名ベンスルフロンメチル）	アルファ－（４，６－ジメトキシ－２－ピリミジニルカルバモイルスルファモイル）－オルト－トルイル酸メチル（別名ベンスルフロンメチル）
JP-PRTR-C1-269	（ＲＳ）―七―（四・六―ジメトキシピリミジン―二―イルチオ）―三―メチル―二―ベンゾフラン―一（三Ｈ）―オン（別名ピリフタリド）	（ＲＳ）－７－（４，６－ジメトキシピリミジン－２－イルチオ）－３－メチル－２－ベンゾフラン－１（３Ｈ）－オン（別名ピリフタリド）
JP-PRTR-C1-270	二―［（ジメトキシホスフィノチオイル）チオ］―二―フェニル酢酸エチル（別名フェントエート又はＰＡＰ）	２－［（ジメトキシホスフィノチオイル）チオ］－２－フェニル酢酸エチル（別名フェントエート又はＰＡＰ）
JP-PRTR-C1-271	三・五―ジヨード―四―オクタノイルオキシベンゾニトリル（別名アイオキシニル）	３，５－ジヨード－４－オクタノイルオキシベンゾニトリル（別名アイオキシニル）
JP-PRTR-C1-282	二―チオキソ―三・五―ジメチルテトラヒドロ―二Ｈ―一・三・五―チアジアジン（別名ダゾメット）	２－チオキソ－３，５－ジメチルテトラヒドロ－２Ｈ－１，３，５－チアジアジン（別名ダゾメット）
JP-PRTR-C1-285	チオりん酸Ｏ―四―シアノフェニル―Ｏ・Ｏ―ジメチル（別名シアノホス又はＣＹＡＰ）	チオりん酸Ｏ－４－シアノフェニル－Ｏ，Ｏ－ジメチル（別名シアノホス又はＣＹＡＰ）
JP-PRTR-C1-286	チオりん酸Ｏ・Ｏ―ジエチル―Ｏ―（二―イソプロピル―六―メチル―四―ピリミジニル）（別名ダイアジノン）	チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－（２－イソプロピル－６－メチル－４－ピリミジニル）（別名ダイアジノン）
JP-PRTR-C1-287	チオりん酸Ｏ・Ｏ―ジエチル―Ｏ―（三・五・六―トリクロロ―二―ピリジル）（別名クロルピリホス）	チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－（３，５，６－トリクロロ－２－ピリジル）（別名クロルピリホス）
JP-PRTR-C1-288	チオりん酸Ｏ・Ｏ―ジエチル―Ｏ―（五―フェニル―三―イソオキサゾリル）（別名イソキサチオン）	チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－（５－フェニル－３－イソオキサゾリル）（別名イソキサチオン）
JP-PRTR-C1-289	チオりん酸Ｏ・Ｏ―ジメチル―Ｏ―（三―メチル―四―ニトロフェニル）（別名フェニトロチオン又はＭＥＰ）	チオりん酸Ｏ，Ｏ－ジメチル－Ｏ－（３－メチル－４－ニトロフェニル）（別名フェニトロチオン又はＭＥＰ）
JP-PRTR-C1-290	チオりん酸Ｏ・Ｏ―ジメチル―Ｏ―（三―メチル―四―メチルチオフェニル）（別名フェンチオン又はＭＰＰ）	チオりん酸Ｏ，Ｏ－ジメチル－Ｏ－（３－メチル－４－メチルチオフェニル）（別名フェンチオン又はＭＰＰ）
JP-PRTR-C1-291	チオりん酸Ｓ―ベンジル―Ｏ・Ｏ―ジイソプロピル（別名イプロベンホス又はＩＢＰ）	チオりん酸Ｓ－ベンジル－Ｏ，Ｏ－ジイソプロピル（別名イプロベンホス又はＩＢＰ）
JP-PRTR-C1-292	一・一′―［（一Ｒ・二Ｒ・三Ｓ・四Ｒ・五Ｒ・六Ｓ）―四―［［五―デオキシ―二―Ｏ―［二―デオキシ―二―（メチルアミノ）―アルファ―Ｌ―グルコピラノシル］―三―Ｃ―ホルミル―アルファ―Ｌ―リキソフラノシル］オキシ］―二・五・六―トリヒドロキシシクロヘキサン―一・三―ジイル］ジグアニジン（別名ストレプトマイシン）	１，１’－［（１Ｒ，２Ｒ，３Ｓ，４Ｒ，５Ｒ，６Ｓ）－４－［［５－デオキシ－２－Ｏ－［２－デオキシ－２－（メチルアミノ）－アルファ－Ｌ－グルコピラノシル］－３－Ｃ－ホルミル－アルファ－Ｌ－リキソフラノシル］オキシ］－２，５，６－トリヒドロキシシクロヘキサン－１，３－ジイル］ジグアニジン（別名ストレプトマイシン）
JP-PRTR-C1-293	（二Ｒ・三ａＳ・五ａＲ・五ｂＳ・九Ｓ・一三Ｓ・一四Ｒ・一六ａＳ・一六ｂＲ）―二―［（六―デオキシ―二・三・四―トリ―Ｏ―メチル―アルファ―Ｌ―マンノピラノシル）オキシ］―一三―［［四―（ジメチルアミノ）―二・三・四・六―テトラデオキシ―ベータ―Ｄ―エリトロ―ヘキソピラノシル］オキシ］―九―エチル―一四―メチル―二・三・三ａ・五ａ・五ｂ・六・九・一〇・一一・一二・一三・一四・一六ａ・一六ｂ―テトラデカヒドロ―一Ｈ―ａｓ―インダセノ［三・二―ｄ］オキサシクロドデシン―七・一五―ジオン（別名スピノシンＡ）及び（二Ｓ・三ａＲ・五ａＳ・五ｂＳ・九Ｓ・一三Ｓ・一四Ｒ・一六ａＳ・一六ｂＳ）―二―［（六―デオキシ―二・三・四―トリ―Ｏ―メチル―アルファ―Ｌ―マンノピラノシル）オキシ］―一三―［［四―（ジメチルアミノ）―二・三・四・六―テトラデオキシ―ベータ―Ｄ―エリトロ―ヘキソピラノシル］オキシ］―九―エチル―四・一四―ジメチル―二・三・三ａ・五ａ・五ｂ・六・九・一〇・一一・一二・一三・一四・一六ａ・一六ｂ―テトラデカヒドロ―一Ｈ―ａｓ―インダセノ［三・二―ｄ］オキサシクロドデシン―七・一五―ジオン（別名スピノシンＤ）の混合物（別名スピノサド）	（２Ｒ，３ａＳ，５ａＲ，５ｂＳ，９Ｓ，１３Ｓ，１４Ｒ，１６ａＳ，１６ｂＲ）－２－［（６－デオキシ－２，３，４－トリ－Ｏ－メチル－アルファ－Ｌ－マンノピラノシル）オキシ］－１３－［［４－（ジメチルアミノ）－２，３，４，６－テトラデオキシ－ベータ－Ｄ－エリトロ－ヘキソピラノシル］オキシ］－９－エチル－１４－メチル－２，３，３ａ，５ａ，５ｂ，６，９，１０，１１，１２，１３，１４，１６ａ，１６ｂ－テトラデカヒドロ－１Ｈ－ａｓ－インダセノ［３，２－ｄ］オキサシクロドデシン－７，１５－ジオン（別名スピノシンＡ）及び（２Ｓ，３ａＲ，５ａＳ，５ｂＳ，９Ｓ，１３Ｓ，１４Ｒ，１６ａＳ，１６ｂＳ）－２－［（６－デオキシ－２，３，４－トリ－Ｏ－メチル－アルファ－Ｌ－マンノピラノシル）オキシ］－１３－［［４－（ジメチルアミノ）－２，３，４，６－テトラデオキシ－ベータ－Ｄ－エリトロ－ヘキソピラノシル］オキシ］－９－エチル－４，１４－ジメチル－２，３，３ａ，５ａ，５ｂ，６，９，１０，１１，１２，１３，１４，１６ａ，１６ｂ－テトラデカヒドロ－１Ｈ－ａｓ－インダセノ［３，２－ｄ］オキサシクロドデシン－７，１５－ジオン（別名スピノシンＤ）の混合物（別名スピノサド）
JP-PRTR-C1-296	一・三・五・七―テトラアザトリシクロ［三・三・一・一（三・七）］デカン（別名ヘキサメチレンテトラミン）	１，３，５，７－テトラアザトリシクロ［３．３．１．１（３，７）］デカン（別名ヘキサメチレンテトラミン）
JP-PRTR-C1-299	四・五・六・七―テトラクロロイソベンゾフラン―一（三Ｈ）―オン（別名フサライド）	４，５，６，７－テトラクロロイソベンゾフラン－１（３Ｈ）－オン（別名フサライド）
JP-PRTR-C1-300	一・一・二・二―テトラクロロエタン（別名四塩化アセチレン）	１，１，２，２－テトラクロロエタン（別名四塩化アセチレン）
JP-PRTR-C1-305	二・二・三・三―テトラフルオロプロピオン酸ナトリウム（別名テトラピオン又はフルプロパネートナトリウム塩）	２，２，３，３－テトラフルオロプロピオン酸ナトリウム（別名テトラピオン又はフルプロパネートナトリウム塩）
JP-PRTR-C1-306	二・三・五・六―テトラフルオロ―四―メチルベンジル＝（Ｚ）―三―（二―クロロ―三・三・三―トリフルオロ―一―プロペニル）―二・二―ジメチルシクロプロパンカルボキシラート（別名テフルトリン）	２，３，５，６－テトラフルオロ－４－メチルベンジル＝（Ｚ）－３－（２－クロロ－３，３，３－トリフルオロ－１－プロペニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名テフルトリン）
JP-PRTR-C1-308	三・七・九・一三―テトラメチル―五・一一―ジオキサ―二・八・一四―トリチア―四・七・九・一二―テトラアザペンタデカ―三・一二―ジエン―六・一〇―ジオン（別名チオジカルブ）	３，７，９，１３－テトラメチル－５，１１－ジオキサ－２，８，１４－トリチア－４，７，９，１２－テトラアザペンタデカ－３，１２－ジエン－６，１０－ジオン（別名チオジカルブ）
JP-PRTR-C1-310	一―［（一Ｒ・二Ｒ・五Ｓ・七Ｒ）―二・六・六・八―テトラメチルトリシクロ［五・三・一・〇（一・五）］ウンデカ―八―エン―九―イル］エタノン	１－［（１Ｒ，２Ｒ，５Ｓ，７Ｒ）－２，６，６，８－テトラメチルトリシクロ［５．３．１．０（１，５）］ウンデカ－８－エン－９－イル］エタノン
JP-PRTR-C1-315	一―ドデカノール（別名ノルマル―ドデシルアルコール）	１－ドデカノール（別名ノルマル－ドデシルアルコール）
JP-PRTR-C1-316	ドデカン―一―チオール	ドデカン－１－チオール
JP-PRTR-C1-317	二―（Ｎ―ドデシル―Ｎ・Ｎ―ジメチルアンモニオ）アセタート	２－（Ｎ－ドデシル－Ｎ，Ｎ－ジメチルアンモニオ）アセタート
JP-PRTR-C1-319	一・三・五―トリアジン―二・四・六―トリアミン（別名メラミン）	１，３，５－トリアジン－２，４，６－トリアミン（別名メラミン）
JP-PRTR-C1-323	一・一・一―トリクロロエタン	１，１，１－トリクロロエタン
JP-PRTR-C1-324	一・一・二―トリクロロエタン	１，１，２－トリクロロエタン
JP-PRTR-C1-326	トリクロロトリフルオロエタン（別名ＣＦＣ―一一三）	トリクロロトリフルオロエタン（別名ＣＦＣ－１１３）
JP-PRTR-C1-328	（三・五・六―トリクロロ―二―ピリジル）オキシ酢酸（別名トリクロピル）	（３，５，６－トリクロロ－２－ピリジル）オキシ酢酸（別名トリクロピル）
JP-PRTR-C1-329	二・四・六―トリクロロフェノール	２，４，６－トリクロロフェノール
JP-PRTR-C1-330	トリクロロフルオロメタン（別名ＣＦＣ―一一）	トリクロロフルオロメタン（別名ＣＦＣ－１１）
JP-PRTR-C1-331	一・二・三―トリクロロプロパン	１，２，３－トリクロロプロパン
JP-PRTR-C1-333	Ｎ―（トリクロロメチルチオ）―一・二・三・六―テトラヒドロフタルイミド（別名キャプタン）	Ｎ－（トリクロロメチルチオ）－１，２，３，６－テトラヒドロフタルイミド（別名キャプタン）
JP-PRTR-C1-334	トリシクロ［五・二・一・〇（二・六）］デカ―四―エン―三―イル＝プロピオナート	トリシクロ［５．２．１．０（２，６）］デカ－４－エン－３－イル＝プロピオナート
JP-PRTR-C1-336	アルファ・アルファ・アルファ―トリフルオロ―二・六―ジニトロ―Ｎ・Ｎ―ジプロピル―パラ―トルイジン（別名トリフルラリン）	アルファ・アルファ・アルファ－トリフルオロ－２，６－ジニトロ－Ｎ，Ｎ－ジプロピル－パラ－トルイジン（別名トリフルラリン）
JP-PRTR-C1-340	（Ｅ）―四―（二・六・六―トリメチルシクロヘキサ―一―エン―一―イル）ブタ―三―エン―二―オン	（Ｅ）－４－（２，６，６－トリメチルシクロヘキサ－１－エン－１－イル）ブタ－３－エン－２－オン
JP-PRTR-C1-341	Ｎ・Ｎ・Ｎ―トリメチルドデカン―一―アミニウムの塩	Ｎ，Ｎ，Ｎ－トリメチルドデカン－１－アミニウムの塩
JP-PRTR-C1-343	二・四・四―トリメチルペンタ―一―エン及び二・四・四―トリメチルペンタ―二―エンの混合物	２，４，４－トリメチルペンタ－１－エン及び２，４，４－トリメチルペンタ－２－エンの混合物
JP-PRTR-C1-344	トリメトキシ―［三―（オキシラン―二―イルメトキシ）プロピル］シラン	トリメトキシ－［３－（オキシラン－２－イルメトキシ）プロピル］シラン
JP-PRTR-C1-348	ナトリウム＝アルケンスルホナート（アルケンの炭素数が十四から十六までのもの及びその混合物に限る。）及びナトリウム＝ヒドロキシアルカンスルホナート（アルカンの炭素数が十四から十六までのもの及びその混合物に限る。）並びにこれらの混合物	ナトリウム＝アルケンスルホナート（アルケンの炭素数が１４から１６までのもの及びその混合物に限る。）及びナトリウム＝ヒドロキシアルカンスルホナート（アルカンの炭素数が１４から１６までのもの及びその混合物に限る。）並びにこれらの混合物
JP-PRTR-C1-349	ナトリウム＝一―オキソ―一ラムダ（五）―ピリジン―二―チオラート	ナトリウム＝１－オキソ－１ラムダ（５）－ピリジン－２－チオラート
JP-PRTR-C1-351	ナトリウム＝一・一′―ビフェニル―二―オラート	ナトリウム＝１，１’－ビフェニル－２－オラート
JP-PRTR-C1-357	オルト―ニトロアニリン	オルト－ニトロアニリン
JP-PRTR-C1-358	パラ―ニトロクロロベンゼン	パラ－ニトロクロロベンゼン
JP-PRTR-C1-362	一―ノナノール（別名ノルマル―ノニルアルコール）	１－ノナノール（別名ノルマル－ノニルアルコール）
JP-PRTR-C1-365	ビス（アルキル）（ジメチル）アンモニウムの塩（アルキル基の構造が直鎖であり、かつ、当該アルキル基の炭素数が十二、十四、十六、十八又は二十のもの及びその混合物に限る。）	ビス（アルキル）（ジメチル）アンモニウムの塩（アルキル基の構造が直鎖であり、かつ、当該アルキル基の炭素数が１２、１４、１６、１８又は２０のもの及びその混合物に限る。）
JP-PRTR-C1-366	二・四―ビス（イソプロピルアミノ）―六―メチルチオ―一・三・五―トリアジン（別名プロメトリン）	２，４－ビス（イソプロピルアミノ）－６－メチルチオ－１，３，５－トリアジン（別名プロメトリン）
JP-PRTR-C1-367	二・四―ビス（エチルアミノ）―六―メチルチオ―一・三・五―トリアジン（別名シメトリン）	２，４－ビス（エチルアミノ）－６－メチルチオ－１，３，５－トリアジン（別名シメトリン）
JP-PRTR-C1-368	ビス（二―エチルヘキシル）＝（Ｚ）―ブタ―二―エンジオアート	ビス（２－エチルヘキシル）＝（Ｚ）－ブタ－２－エンジオアート
JP-PRTR-C1-369	ビス（八―キノリノラト）銅（別名オキシン銅又は有機銅）	ビス（８－キノリノラト）銅（別名オキシン銅又は有機銅）
JP-PRTR-C1-370	ビス（Ｎ・Ｎ―ジメチルジチオカルバミン酸）亜鉛（別名ジラム）	ビス（Ｎ，Ｎ－ジメチルジチオカルバミン酸）亜鉛（別名ジラム）
JP-PRTR-C1-371	ビス（Ｎ・Ｎ―ジメチルジチオカルバミン酸）Ｎ・Ｎ′―エチレンビス（チオカルバモイルチオ亜鉛）（別名ポリカーバメート）	ビス（Ｎ，Ｎ－ジメチルジチオカルバミン酸）Ｎ，Ｎ’－エチレンビス（チオカルバモイルチオ亜鉛）（別名ポリカーバメート）
JP-PRTR-C1-372	ビス（二―スルフィドピリジン―一―オラト）銅	ビス（２－スルフィドピリジン－１－オラト）銅
JP-PRTR-C1-373	（Ｔ―四）―ビス［二―（チオキソ―カッパＳ）―ピリジン―一（二Ｈ）―オラト―カッパＯ］亜鉛（Ⅱ）	（Ｔ－４）－ビス［２－（チオキソ－カッパＳ）－ピリジン－１（２Ｈ）－オラト－カッパＯ］亜鉛（Ⅱ）
JP-PRTR-C1-374	ビス（二・二・六・六―テトラメチル―四―ピペリジル）＝セバケート	ビス（２，２，６，６－テトラメチル－４－ピペリジル）＝セバケート
JP-PRTR-C1-376	Ｎ・Ｎ―ビス（二―ヒドロキシエチル）アルカンアミド（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が八、十、十二、十四、十六又は十八のもの及びその混合物に限る。）、（Ｚ）―Ｎ・Ｎ―ビス（二―ヒドロキシエチル）オクタデカ―九―エンアミド及び（九Ｚ・一二Ｚ）―Ｎ・Ｎ―ビス（二―ヒドロキシエチル）オクタデカ―九・一二―ジエンアミド並びにこれらの混合物	Ｎ，Ｎ－ビス（２－ヒドロキシエチル）アルカンアミド（アルカンの構造が直鎖であり、かつ、当該アルカンの炭素数が８、１０、１２、１４、１６又は１８のもの及びその混合物に限る。）、（Ｚ）－Ｎ，Ｎ－ビス（２－ヒドロキシエチル）オクタデカ－９－エンアミド及び（９Ｚ，１２Ｚ）－Ｎ，Ｎ－ビス（２－ヒドロキシエチル）オクタデカ－９，１２－ジエンアミド並びにこれらの混合物
JP-PRTR-C1-377	Ｓ・Ｓ―ビス（一―メチルプロピル）＝Ｏ―エチル＝ホスホロジチオアート（別名カズサホス）	Ｓ，Ｓ－ビス（１－メチルプロピル）＝Ｏ－エチル＝ホスホロジチオアート（別名カズサホス）
JP-PRTR-C1-380	（一―ヒドロキシエタン―一・一―ジイル）ジホスホン酸並びにそのカリウム塩及びナトリウム塩	（１－ヒドロキシエタン－１，１－ジイル）ジホスホン酸並びにそのカリウム塩及びナトリウム塩
JP-PRTR-C1-382	四―ビニル―一―シクロヘキセン	４－ビニル－１－シクロヘキセン
JP-PRTR-C1-388	二―フェニルフェノール	２－フェニルフェノール
JP-PRTR-C1-389	Ｎ―フェニルマレイミド	Ｎ－フェニルマレイミド
JP-PRTR-C1-392	三―フェノキシベンジル＝三―（二・二―ジクロロビニル）―二・二―ジメチルシクロプロパンカルボキシラート（別名ペルメトリン）	３－フェノキシベンジル＝３－（２，２－ジクロロビニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名ペルメトリン）
JP-PRTR-C1-393	一・三―ブタジエン	１，３－ブタジエン
JP-PRTR-C1-396	フタル酸ビス（二―エチルヘキシル）	フタル酸ビス（２－エチルヘキシル）
JP-PRTR-C1-398	二―ターシャリ―ブチルアミノ―四―シクロプロピルアミノ―六―メチルチオ―一・三・五―トリアジン	２－ターシャリ－ブチルアミノ－４－シクロプロピルアミノ－６－メチルチオ－１，３，５－トリアジン
JP-PRTR-C1-399	二―ターシャリ―ブチルイミノ―三―イソプロピル―五―フェニルテトラヒドロ―四Ｈ―一・三・五―チアジアジン―四―オン（別名ブプロフェジン）	２－ターシャリ－ブチルイミノ－３－イソプロピル－５－フェニルテトラヒドロ－４Ｈ－１，３，５－チアジアジン－４－オン（別名ブプロフェジン）
JP-PRTR-C1-400	ターシャリ―ブチル＝二―エチルペルオキシヘキサノアート	ターシャリ－ブチル＝２－エチルペルオキシヘキサノアート
JP-PRTR-C1-401	Ｎ―ターシャリ―ブチル―Ｎ′―（四―エチルベンゾイル）―三・五―ジメチルベンゾヒドラジド（別名テブフェノジド）	Ｎ－ターシャリ－ブチル－Ｎ’－（４－エチルベンゾイル）－３，５－ジメチルベンゾヒドラジド（別名テブフェノジド）
JP-PRTR-C1-402	Ｎ―［一―（Ｎ―ブチルカルバモイル）―一Ｈ―二―ベンゾイミダゾリル］カルバミン酸メチル（別名ベノミル）	Ｎ－［１－（Ｎ－ブチルカルバモイル）－１Ｈ－２－ベンゾイミダゾリル］カルバミン酸メチル（別名ベノミル）
JP-PRTR-C1-403	ブチル＝（Ｒ）―二―［四―（四―シアノ―二―フルオロフェノキシ）フェノキシ］プロピオナート（別名シハロホップブチル）	ブチル＝（Ｒ）－２－［４－（４－シアノ－２－フルオロフェノキシ）フェノキシ］プロピオナート（別名シハロホップブチル）
JP-PRTR-C1-404	一―ターシャリ―ブチル―三―（二・六―ジイソプロピル―四―フェノキシフェニル）チオ尿素（別名ジアフェンチウロン）	１－ターシャリ－ブチル－３－（２，６－ジイソプロピル－４－フェノキシフェニル）チオ尿素（別名ジアフェンチウロン）
JP-PRTR-C1-405	二―ターシャリ―ブチルシクロヘキシル＝アセタート	２－ターシャリ－ブチルシクロヘキシル＝アセタート
JP-PRTR-C1-406	四―ターシャリ―ブチルシクロヘキシル＝アセタート	４－ターシャリ－ブチルシクロヘキシル＝アセタート
