100-20-9	Terephthaloyl chloride
52-68-6	Dimethyl 2,2,2-trichloro-1-hydroxyethylphosphonate (synonym: Trichlorfon or DEP)
5216-25-1	p-(Trichloromethyl)chlorobenzene (synonym: p-Chlorobenzotrichloride)
52315-07-8	.alpha.-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate (synonym: Cypermethrin)
526-75-0	2,3-Xylenol (synonym: 2,3-Dimethylphenol)
52888-80-9	S-Benzyl dipropylcarbamothioate (synonym: Prosulfocarb)
532-27-4	.omega.-Chloroacetophenone
53209-19-1	4-Nitro-o-phenylenediamine hydrochloride
5332-73-0	3-Methoxypropylamine
534-52-1	4,6-Dinitro-o-cresol
538-75-0	Dicyclohexylcarbodiimide
5392-40-5	3,7-Dimethyl-2,6-octadienal (synonym: Citral)
54-11-5	3-(1-Methyl-2-pyrrolidinyl)pyridine (synonym: Nicotine)
540-73-8	1,2-Dimethylhydrazine
541-41-3	Ethyl chloroformate
541-69-5	m-Phenylenediamine dihydrochloride
542-75-6	1,3-Dichloropropene
542-92-7	Cyclopentadiene
5421-46-5	Ammonium thioglycolate
5435-64-3	3,5,5-Trimethylhexanal
544-18-3	Cobalt(II) formate
544-92-3	Copper(I) cyanide
544-97-8	Dimethyl zinc
54464-57-2	1-(2,3,8,8-Tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethan-1-one (synonym: Iso E Super)
5470-11-1	Hydroxylamine hydrochloride
55-56-1	Chlorhexidine
55-63-0	Nitroglycerin
55-68-5	Phenylmercuric nitrate
552-30-7	1,2,4-Benzenetricarboxylic acid 1,2-anhydride (synonym: Trimellitic anhydride)
55285-14-8	N-Dibutylaminothio-N-methylcarbamate 2,3-dihydro-2,2-dimethyl-7-benzo[b]furanyl
55406-53-6	3-Iodo-2-propynyl butylcarbamate
55512-33-9	O-(6-Chloro-3-phenylpyridazin-4-yl) S-octyl thiocarbonate
556-82-1	3-Methyl-2-buten-1-ol
558-25-8	Methanesulfonyl fluoride
56-18-8	3,3'-Iminodi(propylamine)
560121-52-0	(E)-2-[4-(tert-Butyl)phenyl]-2-cyano-1-(1,3,4-trimethyl-1H-pyrazol-5-yl)vinyl 2,2-dimethylpropanoate (synonym: Cyenopyrafen)
562-81-2	Platinum-barium cyanide
563-47-3	3-Chloro-2-methyl-1-propene
57-06-7	Allyl isothiocyanate
57-92-1	1,1'-[(1R,2R,3S,4R,5R,6S)-4-[[5-Deoxy-2-O-[2-deoxy-2-(methylamino)-.alpha.-L-glucopyranosyl]-3-C-formyl-.alpha.-L-lyxofuranosyl]oxy]-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine (synonym: Streptomycin)
57018-04-9	O-2,6-Dichloro-p-tolyl O,O-dimethyl phosphorothioate (synonym: Tolclofos methyl)
57427-55-1	Tetrapropylenephenol
57583-35-4	Bis(2-ethylhexyl) [(dimethylstannanediyl)bis(sulfanediyl)]diacetate (synonym: Dimethyltin bis(2-ethylhexylmercaptoacetate))
576-26-1	2,6-Xylenol
57966-95-7	1-(EZ)-2-Cyano-2-methoxyiminoacetyl-3-ethylurea (synonym: Cymoxanil)
5810-88-8	Di(2-ethylhexyl) dithiophosphate
584-79-2	Allethrin (1RS-, cis- and trans- mixture)
5873-54-1	2,4'-Methylenediphenyl diisocyanate
5888-33-5	rel-(1R,2R,4R)-Bornan-2-yl acrylate (synonym: Isobornyl acrylate)
59-50-7	4-Chloro-3-methylphenol
591-27-5	m-Aminophenol
598-56-1	N,N-Dimethylethylamine
598-78-7	2-Chloropropionic acid
5989-27-5	(4R)-p-Mentha-1,8-diene (synonym: D-Limonene)
60-09-3	p-Phenylazoaniline
60-23-1	Cysteamine
60207-90-1	(2RS,4RS;2RS,4SR)-1-[2-(2,4-Dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl methyl]-1H-1,2,4-triazole (synonym: Propiconazole)
603-35-0	Triphenylphosphine
61-82-5	3-Amino-1H-1,2,4-triazole (synonym: Amitrole)
611-06-3	2,4-Dichloro-1-nitrobenzene
614-45-9	tert-Butyl peroxybenzoate
6147-53-1	Cobalt(II) acetate tetrahydrate
615-28-1	o-Phenylenediamine dihydrochloride
61788-46-3	Coco alkyl amine
61791-26-2	Ethoxylated tallow alkylamines
62-38-4	Phenylmercury acetate
62-53-3	Aniline
62-56-6	Thiourea
624-18-0	p-Phenylenediamine dihydrochloride
624-48-6	Maleic acid, dimethyl ester
624-83-9	Methyl isocyanate
624-92-0	Dimethyl disulfide
625-45-6	Methoxyacetic acid
6259-76-3	Hexyl 2-hydroxybenzoate (synonym: Hexyl salicylate)
626-38-0	Acetic acid, sec-pentyl ester
626-67-5	1-Methylpiperidine
63-92-3	Phenoxybenzamine hydrochloride
631-60-7	Mercury(I) acetate
6317-18-6	Methylene bisthiocyanate
6362-80-7	4-Methyl-2,4-diphenylpent-1-ene
63935-38-6	.alpha.-Cyano-3-phenoxybenzyl 2,2-dichloro-1-(4-ethoxyphenyl)-1-cyclopropanecarboxylate (synonym: Cycloprothrin)
64-04-0	.beta.-Phenylethylamine (synonym: Phenethylamine)
64-18-6	Formic acid
64-19-7	Acetic acid
64-67-5	Diethyl sulfate
64-69-7	Iodoacetic acid
643-79-8	o-Phthalaldehyde
64359-81-5	4,5-Dichloro-2-octylisothiazol-3(2H)-one
644-97-3	Dichloro(phenyl)phosphine
6449-00-9	Chromium carbonate
64685-81-0	Reaction mass of: 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (synonym: DOTE); 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (synonym: MOTE)
6485-40-1	L-Carvone
65-85-0	Benzoic acid
65321-67-7	Toluene-2,4-diammonium sulphate
65907-30-4	Furathiocarb
65997-15-1	Portland cement (containing no Asbestos, Crystalline silica <1%)
66230-04-4	Esfenvalerate
676-97-1	Methylphosphonyl dichloride
68-11-1	Mercaptoacetic acid
68131-39-5	Poly(oxyethylene) alkyl ether (C12-15)
683-10-3	2-(N-Dodecyl-N,N-dimethylammonio)acetate
683-18-1	Dibutyltin dichloride
6834-92-0	Disodium dioxido(oxo)silane (synonym: Sodium metasilicate)
684-93-5	N-Methyl-N-nitrosourea
68424-85-1	Alkyl(C12-16)(benzyl)(dimethyl)ammonium chloride
68609-97-2	Alkyl(C12-14) glycidyl ether
6864-37-5	4,4'-Methylenebis(2-methylcyclohexanamine)
68694-11-1	Triflumizole
688046-61-9	(5-Chloro-2-methoxy-4-methylpyridin-3-yl)(2,3,4-trimethoxy-6-methylphenyl)methanone (synonym: Pyriofenone)
68860-54-8	tert-Amylperoxy-3,5,5-trimethylhexanoate
69-72-7	Salicylic acid
693-13-0	1,3-Diisopropylcarbodiimide
70-25-7	N-Methyl-N'-nitro-N-nitrosoguanidine
70-34-8	1-Fluoro-2,4-dinitrobenzene
700-13-0	2,3,5-Trimethylhydroquinone
71-23-8	n-Propyl alcohol
71-36-3	1-Butanol
71-48-7	Cobalt(II) acetate
71048-99-2	Sodium salt of L-2-amino-4-[(hydroxy)(methyl)phosphinoyl]butyryl-L-alanyl-L-alanine
7173-51-5	Didecyldimethylammonium chloride
7281-04-1	Benzyl(dodecyl)(dimethyl)ammonium bromide (synonym: Benzalkonium bromide)
731-27-1	N-Dichlorofluoromethylthio-N',N'-dimethyl-N-p-tolylsulfamide (synonym: Tolylfluanid)
732-26-3	2,4,6-Tri-tert-butylphenol
74-31-7	N,N'-Diphenyl-1,4-phenylenediamine
74-89-5	Methylamine
7439-93-2	Lithium metal
7440-02-0	Nickel
7440-06-4	Platinum
7440-09-7	Potassium metal
7440-16-6	Rhodium
7440-22-4	Silver
7440-23-5	Sodium metal
7440-28-0	Thallium and its compounds
7440-47-3	Chromium metal
7440-50-8	Copper
7440-70-2	Calcium
7446-70-0	Aluminum chloride
7447-39-4	Copper(II) chloride
7488-55-3	Stannous sulfate
75-04-7	Ethylamine
75-07-0	Acetaldehyde
75-20-7	Calcium carbide
75-31-0	Isopropylamine
75-36-5	Acetyl chloride
75-50-3	Trimethylamine
75-54-7	Dichloro(methyl)silane
75-59-2	Tetramethylammonium hydroxide
75-66-1	tert-Butyl mercaptan
75-75-2	Methanesulfonic acid
75-77-4	Chlorotrimethylsilane
75-78-5	Dichloro(dimethyl)silane
75-79-6	Trichloro(methyl)silane
75-91-2	tert-Butyl hydroperoxide
75-94-5	Trichloro(vinyl)silane
7550-35-8	Lithium bromide
7550-45-0	Titanium tetrachloride
7553-56-2	Iodine
7580-67-8	Lithium hydride
76-03-9	Trichloroacetic acid
76-05-1	Trifluoroacetic acid
76-06-2	Trichloronitromethane
76-87-9	Triphenyltin hydroxide
760-67-8	2-Ethane-1-ylhexanoyl chloride
7601-54-9	Trisodium phosphate
7601-90-3	Perchloric acid
7632-51-1	Vanadium(IV) chloride
7637-07-2	Boron trifluoride
764-41-0	1,4-Dichloro-2-butene
7646-69-7	Sodium hydride
7646-78-8	Stannic chloride
7646-85-7	Zinc chloride
7646-93-7	Potassium hydrogen sulfate
7647-18-9	Antimony(V) chloride
7659-86-1	2-Ethylhexyl thioglycolate
7664-38-2	Phosphoric acid
7681-52-9	Sodium hypochlorite (solution 6-15% Chlorine active)
7681-57-4	Disodium pyrosulfite
77-47-4	Hexachlorocyclopentadiene
77-77-0	Divinyl sulfone
7705-07-9	Titanium trichloride
7705-08-0	Iron(III) chloride
7718-54-9	Nickel chloride
7718-98-1	Vanadium trichloride
7719-09-7	Thionyl chloride
7719-12-2	Phosphorus trichloride
7722-84-1	Hydrogen peroxide
7726-95-6	Bromine
7727-18-6	Vanadium oxytrichloride
7727-21-1	Dipotassium peroxodisulfate
7727-54-0	Diammonium peroxodisulfate
7758-89-6	Cuprous chloride
7758-98-7	Copper(II) sulfate anhydrous
7758-99-8	Copper(II) sulfate pentahydrate
7761-88-8	Silver(I) nitrate
7775-27-1	Disodium peroxydisulfate (synonym: Sodium peroxodisulfate)
7778-53-2	Tripotassium phosphate
7778-54-3	Calcium hypochlorite
7778-66-7	Potassium hypochlorite
7782-41-4	Fluorine
7783-00-8	Selenious acid
7783-60-0	Sulfur tetrafluoride
7786-81-4	Nickel sulfate
7789-21-1	Fluorosulfonic acid
7789-30-2	Bromine pentafluoride
7790-91-2	Chlorine trifluoride
7790-94-5	Chlorosulfonic acid
7791-08-4	Antimony chloride oxide
7791-20-0	Nickel chloride hexahydrate
7791-25-5	Sulfuryl chloride
78-04-6	Dibutyltin maleate
78-69-3	3,7-Dimethyloctan-3-ol (synonym: Tetrahydrolinalool)
78-70-6	3,7-Dimethyl-1,6-octadien-3-ol
78-81-9	Isobutylamine
78-85-3	2-Methyl-2-propenal
78-90-0	1,2-Propanediamine
78-94-4	Methyl vinyl ketone
78-95-5	Chloroacetone
78-96-6	1-Amino-2-propanol
7803-49-8	Hydroxylamine
7803-57-8	Hydrazine monohydrate
79-04-9	Chloroacetyl chloride
79-07-2	Chloroacetamide
79-08-3	Bromoacetic acid
79-09-4	Propionic acid
79-10-7	Acrylic acid
79-11-8	Chloroacetic acid (synonym: Monochloroacetic acid)
79-14-1	Hydroxyacetic acid
79-21-0	Peroxyacetic acid
79-22-1	Methyl chloroformate
79-31-2	2-Methylpropionic acid
79-33-4	L-Lactic acid
79-36-7	Dichloroacetyl chloride
79-41-4	Methacrylic acid
79-43-6	Dichloroacetic acid
79-57-2	Oxytetracycline
79-74-3	2,5-Di-tert-amylhydroquinone
793-24-8	N-(1,3-Dimethylbutyl)-N'-phenyl-p-phenylenediamine
79622-59-6	3-Chloro-N-(3-chloro-5-trifluoromethyl-2-pyridyl)-.alpha.,.alpha.,.alpha.-trifluoro-2,6-dinitro-p-toluidine (synonym: Fluazinam)
79983-71-4	2-(2,4-Dichlorophenyl)-1-(1H-1,2,4-triazol-1-yl)-2-hexanol (synonym: Hexaconazole)
80-05-7	Bisphenol A
80-10-4	Dichlorodiphenylsilane
80-15-9	1-Methyl-1-phenylethyl hydroperoxide
80-46-6	4-tert-Pentylphenol
80-48-8	Methyl p-toluenesulfonate
80-54-6	3-(4-tert-Butylphenyl)-2-methylpropanal
80-56-8	2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene (synonym: .alpha.-Pinene)
80-62-6	Methyl methacrylate
8001-54-5	Benzalkonium chloride
8001-58-9	Creosote oil
8003-34-7	Pyrethrum
8006-64-2	Turpentine oil
8014-95-7	Fuming sulfuric acid
8022-00-2	Dimethyl ethylmercapto ethylthiophosphate (synonym: Methyl demeton)
80466-34-8	2,4-Hexadienal
8050-09-7	Rosin
814-94-8	Stannous oxalate
818-61-1	2-Hydroxyethyl acrylate
82-68-8	Pentachloronitrobenzene
822-06-0	Hexamethylene diisocyanate (synonym: Hexane-1,6-diisocyanate)
826-36-8	2,2,6,6-Tetramethylpiperidin-4-one
82633-79-2	2-Methyl-5,6-dihydro-4H-cyclopenta[d]isothiazol-3(2H)-one
82657-04-3	2-Methyl-1,1'-biphenyl-3-ylmethyl (Z)-3-(2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropane carboxylate
828-00-2	6-Acetoxy-2,4-dimethyl-1,3-dioxane
84-61-7	Dicyclohexyl phthalate
84-66-2	Diethyl phthalate
84-74-2	Di-n-butyl phthalate
84852-15-3	4-Nonylphenol, branched
85-00-7	1,1'-Ethylene-2,2'-bipyridinium dibromide (synonym: Diquat)
85-01-8	Phenanthrene
85-42-7	Hexahydrophthalic anhydride
85-43-8	Tetrahydrophthalic anhydride
85-44-9	Phthalic anhydride
85409-22-9	Alkyl(C12-14)(benzyl)(dimethyl)ammonium chloride
85954-11-6	4,4'-Bis(2,3-epoxypropoxy)-3,3',5,5'-tetramethylbiphenyl (synonym: 2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane)
86-50-0	O,O-Dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] phosphorodithioate
86-54-4	Hydralazine
86598-92-7	4-Chlorobenzyl N-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl)thioacetimidate
868-77-9	2-Hydroxyethyl methacrylate
87-56-9	Mucochloric acid
87-68-3	Butadiene hexachloride
87392-12-9	2-Chloro-N-(2-ethyl-6-methylphenyl)-N-[(S)-1-methoxypropan-2-yl]acetamide (synonym: Metolachlor-S)
87674-68-8	(RS)-2-Chloro-N-(2,4-dimethyl-3-thienyl)-N-(2-methoxy-1-methylethyl)acetamide (synonym: Dimethenamid)
88-12-0	N-Vinyl-2-pyrrolidone
88-18-6	2-tert-Butylphenol
88-60-8	2-tert-Butyl-5-methylphenol
88-88-0	1-Chloro-2,4,6-trinitrobenzene
88-89-1	Picric acid
89-32-7	1,2,4,5-Benzenetetracarboxylic anhydride
89-72-5	o-sec-Butylphenol
89-83-8	Thymol
89-98-5	2-Chlorobenzaldehyde
90-04-0	o-Anisidine
90-15-3	1-Naphthol
90-30-2	1-(N-phenylamino)-naphthalene
90-43-7	Biphenyl-2-ol
90-72-2	2,4,6-Tris(dimethylaminomethyl)phenol
900-95-8	Triphenyltin acetate
9002-07-7	Trypsin
9004-07-3	Chymotrypsin
90076-65-6	Lithium bis(trifluoromethylsulfonyl)imide
9014-01-1	Subtilisin
9016-87-9	.alpha.-(Isocyanatobenzyl)-.omega.-(isocyanatophenyl)-poly[(isocyanatophenylene)methylene]
91-17-8	Decahydronaphthalene
91-53-2	6-Ethoxy-1,2-dihydro-2,2,4-trimethylquinoline (synonym: Ethoxyquin)
91-97-4	3,3'-Dimethylbiphenyl-4,4'-diyl diisocyanate
917-69-1	Cobalt(III) acetate
919-30-2	.gamma.-Aminopropyltriethoxysilane
92-70-6	.beta.-Hydroxynaphthoic acid
92-84-2	Phenothiazine
92-88-6	4,4'-Dihydroxydiphenyl
923-26-2	2-Hydroxypropyl methacrylate
925-21-3	Monobutyl maleate
93-05-0	N,N-Diethyl-p-phenylenediamine
94-09-7	p-Aminobenzoic acid, ethyl ester
94-36-0	Dibenzoyl peroxide
95-31-8	N-(tert-Butyl)-2-benzothiazolesulfenamide
95-33-0	N-Cyclohexyl-2-benzothiazolesulfenamide
95-38-5	2-(2-(Heptadec-8-en-1-yl)-4,5-dihydro-1H-imidazol-1-yl)ethanol
95-48-7	o-Cresol
95-54-5	o-Phenylenediamine
95-55-6	o-Aminophenol
95-57-8	o-Chlorophenol
95-65-8	3,4-Xylenol (synonym: 3,4-Dimethylphenol)
95-70-5	p-Toluenediamine
95-76-1	3,4-Dichloroaniline
95-80-7	2,4-Toluenediamine (synonym: 2,4-Diaminotoluene)
95-82-9	2,5-Dichloroaniline
95-87-4	2,5-Xylenol (synonym: 2,5-Dimethylphenol)
95465-99-9	S,S-Bis(1-methylpropyl) O-ethyl phosphorodithioate (synonym: Cadusafos)
96-09-3	Phenyloxirane (synonym: Styrene oxide)
96-29-7	Butan-2-one oxime
96-33-3	Methyl acrylate
96-34-4	Methyl chloroacetate
96-45-7	2-Imidazolidinethione (synonym: Ethylene thiourea)
96491-05-3	2-Chloro-N-(3-methoxy-2-thenyl)-2',6'-dimethylacetanilide
97-00-7	1-Chloro-2,4-dinitrobenzene
97-17-6	O-2,4-Dichlorophenyl O,O-diethyl phosphorothioate
97-23-4	2,2'-Dihydroxy-5,5'-dichlorodiphenylmethane (synonym: Dichlorophen)
97-53-0	Eugenol
97-54-1	Isoeugenol
97-56-3	2-Methyl-4-(2-tolylazo)aniline (synonym: 2-Aminoazotoluene)
97-63-2	Ethyl methacrylate
97-72-3	Isobutyric anhydride
97-74-5	Tetramethylthiuram monosulfide
97-77-8	Tetraethylthiuram disulfide (synonym: Disulfiram)
97-86-9	Isobutyl methacrylate
97-88-1	n-Butyl methacrylate
97-90-5	Ethylene dimethacrylate
97-93-8	Triethylaluminum
97-94-9	Triethylborane
98-00-0	Furfuryl alcohol
98-09-9	Benzenesulfonyl chloride
98-11-3	Benzenesulfonic acid
98-13-5	Trichloro(phenyl)silane
98-29-3	4-tert-Butylcatechol
98-54-4	4-tert-Butylphenol
98-56-6	p-Chloro-.alpha.,.alpha.,.alpha.-trifluorotoluene
98-88-4	Benzoyl chloride
98-94-2	N,N-Dimethylcyclohexylamine
98886-44-3	Fosthiazate
99-35-4	Trinitrobenzene
99-65-0	m-Dinitrobenzene
99-71-8	p-sec-Butylphenol
99-86-5	1-Methyl-4-(propan-2-yl)cyclohexa-1,3-diene (synonym: .alpha.-Terpinene)
99-88-7	4-Isopropylaniline
999-61-1	2-Hydroxypropyl acrylate
999-97-3	Hexamethyldisilazane
RR-60079-3	Powder cake (Nitroglycerin/Nitrocellulose/Isopropyl alcohol = 60/23/17)
RR-60080-6	Powder cake (Nitroglycerin/Nitrocellulose/water = 60/15/25)
