100-00-5	ｐ－ニトロクロロベンゼン
179678-28-5	（Ｒ）－２，２’，３，３’，４，５，６’－ヘプタクロロビフェニル
179678-29-6	（Ｓ）－２，２’，３，３’，４，５，６’－ヘプタクロロビフェニル
179678-30-9	（Ｒ）－２，２’，３，３’，４，５’，６－ヘプタクロロビフェニル
179678-31-0	（Ｓ）－２，２’，３，３’，４，５’，６－ヘプタクロロビフェニル
179678-32-1	（Ｒ）－２，２’，３，３’，４，６，６’－ヘプタクロロビフェニル
179678-33-2	（Ｓ）－２，２’，３，３’，４，６，６’－ヘプタクロロビフェニル
18127-01-0	３－（４－ｔｅｒｔ－ブチルフェニル）プロパナール
18259-05-7	２，３，４，５，６－ペンタクロロビフェニル
18454-12-1	クロム酸鉛オキシド
1861-40-1	Benfluralin
1897-45-6	２，４，５，６－テトラクロロイソフタロニトリル
19049-40-2	Hexakis[mu-(acetato-O:O')]-mu4-oxotetraberyllium
1910-42-5	１，１’－ジメチル［４，４’－ビピリジン］－１，１’－ジイウム＝ジクロリド
1912-24-9	２－クロロ－４－エチルアミノ－６－イソプロピルアミノ－１，３，５－トリアジン
19287-45-7	ジボラン（６）
1937-37-7	二ナトリウム＝４－アミノ－３－（｛４’－［（２，４－ジアミノフェニル）ジアゼニル］ビフェニル－４－イル｝ジアゼニル）－５－ヒドロキシ－６－（フェニルジアゼニル）ナフタレン－２，７－ジスルホナート
19417-15-3	塩化亜鉛（ＩＩ）・二水和物
19438-64-3	４－メチルシクロヘキサ－３－エン－１，２－ジカルボン酸無水物
19624-22-7	ペンタボラン（９）
19783-14-3	水酸化鉛（ＩＩ）
2016-42-4	テトラデカン－１－アミン
2016-57-1	デカン－１－アミン
2050-67-1	３，３’－ジクロロビフェニル
2050-68-2	４，４’－ジクロロビフェニル
2051-24-3	２，２’，３，３’，４，４’，５，５’，６，６’－デカクロロビフェニル
2051-60-7	２－クロロビフェニル
2051-61-8	３－クロロビフェニル
2051-62-9	４－クロロビフェニル
20564-21-0	ジアンモニウム＝（Ｔ－４）－テトラキス（チオシアナト－κＳ）メルクラート（２－）
20582-71-2	Mercurate(2-), tetrachloro-, potassium (1:2), (T-4)-
205991-67-9	（Ｒ）－２，２’，３，３’，５，６’－ヘキサクロロビフェニル
205991-68-0	（Ｓ）－２，２’，３，３’，５，６’－ヘキサクロロビフェニル
205991-69-1	（Ｒ）－２，２’，３，４，５’，６－ヘキサクロロビフェニル
205991-70-4	（Ｓ）－２，２’，３，４，５’，６－ヘキサクロロビフェニル
20601-83-6	セレン化水銀（ＩＩ）
20654-88-0	三フッ化ホウ素
207004-27-1	（＋）－２，２’，３，３’，６－ペンタクロロビフェニル
207004-28-2	（＋）－２，２’，３，３’，４，６’－ヘキサクロロビフェニル
207004-29-3	（－）－２，２’，３，３’，５，６’－ヘキサクロロビフェニル
207004-30-6	（＋）－２，２’，３，３’，６，６’－ヘキサクロロビフェニル
207004-31-7	（－）－２，２’，３，３’，４，５，６’－ヘプタクロロビフェニル
207004-32-8	（＋）－２，２’，３，３’，４，６，６’－ヘプタクロロビフェニル
207004-33-9	（＋）－２，２’，３，３’，４，６－ヘキサクロロビフェニル
207004-34-0	（＋）－２，２’，３，３’，４，５’，６－ヘプタクロロビフェニル
207004-35-1	（＋）－２，２’，３，３’，４，４’，５，６’－オクタクロロビフェニル
207004-36-2	（＋）－２，２’，３，４’，５’，６－ヘキサクロロビフェニル
20768-68-7	水酸化ベリリウム
20780-53-4	（２Ｒ）－２－フェニルオキシラン
20780-54-5	（２Ｓ）－２－フェニルオキシラン
2104-64-5	Ｏ－エチル＝Ｏ－４－ニトロフェニル＝フェニルホスホノチオアート
21041-95-2	水酸化カドミウム
2136-99-4	２，２’，３，３’，５，５’，６，６’－オクタクロロビフェニル
21564-17-0	２－［（チオシアナトメチル）スルファニル］－１，３－ベンゾチアゾール
2186-24-5	２－［（ｐ－トリルオキシ）メチル］オキシラン
2186-25-6	２－［（ｍ－トリルオキシ）メチル］オキシラン
21908-53-2	酸化水銀（ＩＩ）
2206-26-0	アセトニトリル－２，２，２－ｄ３
2210-79-9	［（２－メチルフェノキシ）メチル］オキシラン
22224-92-6	エチル＝３－メチル－４－（メチルスルファニル）フェニル＝Ｎ－イソプロピルホスホロアミダート
2223-93-0	ステアリン酸カドミウム（ＩＩ）
22330-18-3	Potassium triiodomercurate(1-)
2235-25-8	二水素＝エタニド（ホスファト－κＯ）メルクラート（２－）
224049-04-1	３，４－ジクロロ－Ｎ－（２－シアノフェニル）イソチアゾール－５－カルボキサミド
22438-69-3	ケイ酸鉛
22465-18-5	硫酸カドミウム・八水和物
22569-74-0	ケイ酸鉛
228420-06-2	（＋）－２，２’，３，４，５’，６－ヘキサクロロビフェニル
228420-07-3	（＋）－２，２’，３，４，４’，５’，６－ヘプタクロロビフェニル
22936-75-0	４－（１，２，ジメチルプロピルアミノ）－２－エチルアミノ－６－メチルチオ－１，３，５－トリアジン
22967-92-6	メチル水銀（１＋）
23184-66-9	Ｎ－（ブトキシメチル）－２－クロロ－２’，６’－ジエチルアセトアニリド
23564-05-8	ジメチル＝Ｎ，Ｎ’－［１，２－フェニレンビス（イミノカルボノチオイル）］ジカルバマート
2426-08-6	２－（ブトキシメチル）オキシラン
24290-40-2	三塩化鉄水和物（１：？）
2437-79-8	２，２’，４，４’－テトラクロロビフェニル
2439-01-2	６－メチル［１，３］ジチオロ［４，５－ｂ］キノキサリン－２－オン
2439-35-2	２－（ジメチルアミノ）エチル＝アクリラート
2440-42-8	エチル（ヨージド）水銀
2440-45-1	リン酸水素ビス（エチル水銀）
2451-62-9	１，３，５－トリス（オキシラン－２－イルメチル）－１，３，５－トリアジナン－２，４，６－トリオン
25013-16-5	ｔｅｒｔ－ブチル－４－メトキシフェノール
25103-58-6	ｔｅｒｔ－ドデカンチオール
25154-52-3	ノニルフェノール
25168-24-5	２，２’－［（ジブチルスタニレン）ビス（チオ）］ジ酢酸ジイソオクチル
25265-76-3	フェニレンジアミン
2528-36-1	ジブタン－１－イル＝フェニル＝ホスファート
2530-83-8	トリメトキシ［３－（オキシラン－２－イルメトキシ）プロピル］シラン
25321-14-6	メチル（ジニトロ）ベンゼン
25323-68-6	トリクロロビフェニル
25376-45-8	メチル－１，３－フェニレンジアミン
25429-29-2	ペンタクロロビフェニル
25497-30-7	ジブロモ（テトラフルオロ）エタン
25510-11-6	炭酸鉛（ＩＩ）（１：？）
25512-42-9	ジクロロビフェニル
25569-80-6	２，３’－ジクロロビフェニル
25638-88-4	Beryllium zinc silicate
25725-28-4	ケイ酸鉛
25808-74-6	六フッ化ケイ酸鉛（ＩＩ）
25869-11-8	六フッ化ケイ酸銅（ＩＩ）・四水和物
2593-15-9	５－エトキシ－３－トリクロロメチル－１，２，４－チアジアゾール
2597-97-9	シアニド（メチル）水銀
2605-44-9	ラウリン酸カドミウム（ＩＩ）
26087-47-8	チオリン酸Ｓ－ベンジル－Ｏ，Ｏ－ジイソプロピル
26102-02-3	２，４（または６）－ジイソシアナトトルエン
26447-14-3	２－［（トリルオキシ）メチル］オキシラン
26471-62-5	メチル－１，３－フェニレン＝ジイソシアナート
26522-91-8	臭素酸水銀（ＩＩ）・二水和物
26523-64-8	トリクロロ（トリフルオロ）エタン
26535-94-4	エチル（ウレアト－κＮ）水銀
26543-97-5	４－イソノニルフェノール
26590-20-5	１，２，３，６－テトラヒドロメチル無水フタル酸
26601-64-9	ヘキサクロロビフェニル
26628-22-8	アジ化ナトリウム
26764-44-3	ａｒ－メチルベンゼン－１，３－ジアミン
2687-25-4	３－メチルベンゼン－１，２－ジアミン
26914-33-0	テトラクロロビフェニル
26915-12-8	トルイジン
26966-75-6	ａｒ－メチルベンゼン－１，２－ジアミン
27176-87-0	ドデシルベンゼンスルホン酸
27228-67-7	四ヨウ化水銀酸銅（ＩＩ）
27323-18-8	クロロビフェニル
27336-23-8	１，１－ジブロモ－１，２，２，２－テトラフルオロエタン
27575-47-9	二フッ化二水銀
27685-51-4	水銀（２＋）＝（Ｔ－４）－テトラキス（チオシアナト－κＮ）コバルタート（２－）
27938-31-4	ｏ－イソノニルフェノール
2797-51-5	２－アミノ－３－クロロ－１，４－ナフトキノン
2809-21-4	（１－ヒドロキシエタン－１，１－ジイル）ビス（ホスホン酸）
28304-66-7	５－エチリデン－２－ノルボルネン
28304-67-8	５－エチリデン－２－ノルボルネン
283158-20-3	ベンジル（ジメチル）（テトラデシル）アンモニウム＝クロリド一水和物
283594-90-1	３－メシチル－２－オキソ－１－オキサスピロ［４．４］ノナ－３－エン－４－イル＝３，３－ジメチルブタノアート
2837-89-0	２－クロロ－１，１，１，２－テトラフルオロエタン
28605-74-5	テトラクロロ（ジフルオロ）エタン
28655-71-2	ヘプタクロロビフェニル
2867-47-2	２－（ジメチルアミノ）エチル＝メタクリラート
28953-04-0	水酸化フッ化水銀（ＩＩ）
2921-88-2	チオリン酸Ｏ，Ｏ－ジエチル－Ｏ－（３，５，６－トリクロロ－２－ピリジル）
29426-92-4	塩化亜鉛（ＩＩ）・四水和物
29604-34-0	塩化亜鉛（ＩＩ）・水和物
2974-90-5	３，４’－ジクロロビフェニル
2974-92-7	３，４－ジクロロビフェニル
298-04-4	ジチオリン酸Ｏ，Ｏ－ジエチル－Ｓ－（２－エチルチオエチル）
29870-72-2	Cadmium mercury telluride
3006-82-4	ｔｅｒｔ－ブチル＝２－エチルペルオキシヘキサノアート
301-04-2	酢酸鉛（ＩＩ）
302-01-2	ヒドラジン
306-83-2	２，２－ジクロロ－１，１，１－トリフルオロエタン
30605-61-9	ａｒ，ａｒ，ａｒ－トリクロロビフェニル
30719-10-9	ケイ酸鉛
30784-30-6	４－（２－メチルオクタン－２－イル）フェノール
31065-88-0	オキシシアン化水銀（ＩＩ）
31472-83-0	オクタクロロビフェニル
31508-00-6	２，３’，４，４’，５－ペンタクロロビフェニル
3173-72-6	１，５－ジイソシアナトナフタレン
32055-14-4	アニリン・ホルムアルデヒド・ホスゲン重合物
32210-23-4	４－ｔｅｒｔ－ブチルシクロヘキシル＝アセタート
3228-02-2	４－イソプロピル－３－メチルフェノール
32388-55-9	１－［（３Ｒ，３ａＲ，７Ｒ，８ａＳ）－３，６，８，８－テトラメチル－２，３，４，７，８，８ａ－ヘキサヒドロ－１Ｈ－３ａ，７－メタノアズレン－５－イル］エタノン
32598-10-0	２，３’，４，４’－テトラクロロビフェニル
32598-11-1	２，３’，４’，５－テトラクロロビフェニル
32598-12-2	２，４，４’，６－テトラクロロビフェニル
32598-13-3	３，３’，４，４’－テトラクロロビフェニル
32598-14-4	２，３，３’，４，４’－ペンタクロロビフェニル
3268-49-3	３－（メチルスルファニル）プロパナール
32690-93-0	２，４，４’，５－テトラクロロビフェニル
32774-16-6	３，３’，４，４’，５，５’－ヘキサクロロビフェニル
33025-41-1	２，３，４，４’－テトラクロロビフェニル
33039-81-5	ａｒ，ａｒ’－ジクロロビフェニル
33089-61-1	３－メチル－１，５－ジ（２，４－キシリル）－１，３，５－トリアザペンタ－１，４－ジエン
33091-17-7	２，２’，３，３’，４，４’，６，６’－オクタクロロビフェニル
33146-45-1	２，６－ジクロロビフェニル
33284-50-3	２，４－ジクロロビフェニル
33284-52-5	３，３’，５，５’－テトラクロロビフェニル
33284-53-6	２，３，４，５－テトラクロロビフェニル
33284-54-7	２，３，５，６－テトラクロロビフェニル
333-41-5	Ｏ，Ｏ－ジエチル＝Ｏ－（２－イソプロピル－６－メチルピリミジン－４－イル）＝ホスホロチオアート
33379-31-6	２－メチルベンゼン－１，４－ジアミン
334-48-5	デカン酸
33445-15-7	Diammonium tetrachloromercurate
3347-22-6	５，１０－ジオキソ－５，１０－ジヒドロナフト［２，３－ｂ］［１，４］ジチイン－２，３－ジカルボニトリル
335-67-1	２，２，３，３，４，４，５，５，６，６，７，７，８，８，８－ペンタデカフルオロオクタン酸
33960-08-6	Nitric acid, mercury(2+) salt, sesquihydrate
33979-03-2	２，２’，４，４’，６，６’－ヘキサクロロビフェニル
3425-89-6	１，２，３，６－テトラヒドロ－４－メチル無水フタル酸
34643-46-4	ジチオリン酸Ｏ－２，４－ジクロロフェニル－Ｏ－エチル－Ｓ－プロピル
34883-39-1	２，５－ジクロロビフェニル
34883-41-5	３，５－ジクロロビフェニル
34883-43-7	２，４’－ジクロロビフェニル
35065-27-1	２，２’，４，４’，５，５’－ヘキサクロロビフェニル
35065-28-2	２，２’，３，４，４’，５’－ヘキサクロロビフェニル
35065-29-3	２，２’，３，４，４’，５，５’－ヘプタクロロビフェニル
35065-30-6	２，２’，３，３’，４，４’，５－ヘプタクロロビフェニル
35089-00-0	リン酸ベリリウム（１：？）
35229-41-5	酸化鉛（Ｐｂ２Ｏ２）
353-59-3	ブロモ（クロロ）（ジフルオロ）メタン
354-58-5	１，１，１－トリクロロ－２，２，２－トリフルオロエタン
35438-81-4	ｒｅｌ－（３ａＲ，４Ｒ，７ａＳ）－４－メチル－３ａ，４，７，７ａ－テトラヒドロイソベンゾフラン－１，３－ジオン
35465-61-3	１，２－ジイソシアナトメチルベンゼン
35498-15-8	ホウ酸鉛
35658-65-2	塩化カドミウム（ＩＩ）・一水和物
35693-92-6	２，４，６－トリクロロビフェニル
35693-99-3	２，２’，５，５’－テトラクロロビフェニル
35694-04-3	２，２’，３，３’，５，５’－ヘキサクロロビフェニル
35694-06-5	２，２’，３，４，４’，５－ヘキサクロロビフェニル
35694-08-7	２，２’，３，３’，４，４’，５，５’－オクタクロロビフェニル
3626-13-9	（ベンゾアト－κＯ）（メチル）水銀
36559-22-5	２，２’，３，４’－テトラクロロビフェニル
3687-31-8	ビス（ヒ酸）三鉛（ＩＩ）
37020-93-2	シアン化水銀（Ｉ）
37227-61-5	Nickel alloy, Ni, Be
37237-15-3	Mercury alloy, nonbase, Hg,Mg
37244-98-7	過ホウ酸ナトリウム－水（１／４）
37320-91-5	ヨウ化水銀（１：？）
37340-23-1	カリウムアマルガム
37353-63-2	カネクロール　３００
374-07-2	１，１－ジクロロ－１，２，２，２－テトラフルオロエタン
3766-81-2	Ｎ－メチルカルバミン酸２－ｓｅｃ－ブチルフェニル
37680-65-2	２，２’，５－トリクロロビフェニル
37680-66-3	２，２’，４－トリクロロビフェニル
37680-68-5	２，３’，５’－トリクロロビフェニル
37680-69-6	３，３’，４－トリクロロビフェニル
37680-73-2	２，２’，４，５，５’－ペンタクロロビフェニル
3810-81-9	μ－（スルファト－κＯ：κＯ’）－ビス（メチル水銀）
3811-73-2	２－メルカプトピリジン－Ｎ－オキサイドナトリウム塩
38232-63-2	二アジ化二水銀
3825-26-1	アンモニウム＝２，２，３，３，４，４，５，５，６，６，７，７，８，８，８－ペンタデカフルオロオクタノアート
38379-99-6	２，２’，３，５’，６－ペンタクロロビフェニル
38380-01-7	２，２’，４，４’，５－ペンタクロロビフェニル
38380-02-8	２，２’，３，４，５’－ペンタクロロビフェニル
38380-03-9	２，３，３’，４’，６－ペンタクロロビフェニル
38380-04-0	２，２’，３，４’，５’，６－ヘキサクロロビフェニル
38380-05-1	２，２’，３，３’，４，６’－ヘキサクロロビフェニル
38380-07-3	２，２’，３，３’，４，４’－ヘキサクロロビフェニル
38380-08-4	２，３，３’，４，４’，５－ヘキサクロロビフェニル
38411-22-2	２，２’，３，３’，６，６’－ヘキサクロロビフェニル
38411-25-5	２，２’，３，３’，４，５，６’－ヘプタクロロビフェニル
38444-73-4	２，２’，６－トリクロロビフェニル
38444-76-7	２，３’，６－トリクロロビフェニル
38444-77-8	２，４’，６－トリクロロビフェニル
38444-78-9	２，２’，３－トリクロロビフェニル
38444-81-4	２，３’，５－トリクロロビフェニル
38444-84-7	２，３，３’－トリクロロビフェニル
38444-85-8	２，３，４’－トリクロロビフェニル
38444-86-9	２’，３，４－トリクロロビフェニル
38444-87-0	３，３’，５－トリクロロビフェニル
38444-88-1	３，４’，５－トリクロロビフェニル
38444-90-5	３，４，４’－トリクロロビフェニル
38444-93-8	２，２’，３，３’－テトラクロロビフェニル
38497-16-4	４（または５）－メチル－３ａ，４，７，７ａ－テトラヒドロイソベンゾフラン－１，３－ジオン
3861-47-0	オクタン酸＝４－シアノ－２，６－ジヨードフェニル
39148-24-8	Aluminium triethyl triphosphonate
39345-91-0	水酸化鉛
39413-47-3	Silicic acid, beryllium zinc salt
39430-27-8	塩基性炭酸ニッケル（ＩＩ）・四水和物
39485-83-1	２，２’，４，４’，６－ペンタクロロビフェニル
39635-31-9	２，３，３’，４，４’，５，５’－ヘプタクロロビフェニル
39635-32-0	２，３，３’，５，５’－ペンタクロロビフェニル
39635-33-1	３，３’，４，５，５’－ペンタクロロビフェニル
39635-34-2	２，３，３’，４’，５，５’－ヘキサクロロビフェニル
39635-35-3	２，３，３’，４，５，５’－ヘキサクロロビフェニル
39807-15-3	５－ｔｅｒｔ－ブチル－３－［２，４－ジクロロ－５－（プロパ－２－イン－１－イルオキシ）フェニル］－１，３，４－オキサジアゾール－２（３Ｈ）－オン
400882-07-7	２－メトキシエチル＝２－［４－（ｔｅｒｔ－ブチル）フェニル］－２－シアノ－３－オキソ－３－［２－（トリフルオロメチル）フェニル］プロパノアート
40186-70-7	２，２’，３，３’，４，５’，６－ヘプタクロロビフェニル
40186-71-8	２，２’，３，３’，４，５’，６，６’－オクタクロロビフェニル
40186-72-9	２，２’，３，３’，４，４’，５，５’，６－ノナクロロビフェニル
409-21-2	炭化ケイ素
4098-71-9	３－イソシアナトメチル－３，５，５－トリメチルシクロヘキシル＝イソシアナート
41198-08-7	チオリン酸Ｏ－４－ブロモ－２－クロロフェニル－Ｏ－エチル－Ｓ－プロピル
41205-21-4	Ｎ－（４’－フルオロフエニル）－２，３－ジクロロマレイミド
41411-61-4	２，２’，３，４，５，６－ヘキサクロロビフェニル
41411-62-5	２，３，３’，４，５，６－ヘキサクロロビフェニル
41411-63-6	２，３，４，４’，５，６－ヘキサクロロビフェニル
41411-64-7	２，３，３’，４，４’，５，６－ヘプタクロロビフェニル
41464-39-5	２，２’，３，５’－テトラクロロビフェニル
41464-40-8	２，２’，４，５’－テトラクロロビフェニル
41464-41-9	２，２’，５，６’－テトラクロロビフェニル
41464-42-0	２，３’，５，５’－テトラクロロビフェニル
41464-43-1	２，３，３’，４’－テトラクロロビフェニル
41464-46-4	２，３’，４’，６－テトラクロロビフェニル
41464-47-5	２，２’，３，６’－テトラクロロビフェニル
41464-48-6	３，３’，４，５’－テトラクロロビフェニル
41464-49-7	２，３，３’，５’－テトラクロロビフェニル
41464-51-1	２，２’，３，４’，５’－ペンタクロロビフェニル
4170-30-3	ブタ－２－エナール
420-04-2	シアナミド
421-04-5	１－クロロ－１，１，２－トリフルオロエタン
422-44-6	１，２－ジクロロ－１，１，２，３，３－ペンタフルオロプロパン
422-48-0	２，３－ジクロロ－１，１，１，２，３－ペンタフルオロプロパン
422-56-0	３，３－ジクロロ－１，１，１，２，２－ペンタフルオロプロパン
42498-58-8	１，２，３，６－テトラヒドロ－２－メチル無水フタル酸
42740-50-1	２，２’，３，３’，４，４’，５，６’－オクタクロロビフェニル
431-07-2	１－クロロ－１，２，２－トリフルオロエタン
431-86-7	１，２－ジクロロ－１，１，３，３，３－ペンタフルオロプロパン
4719-04-4	ヘキサヒドロ－１，３，５－トリス（２－ヒドロキシエチル）－１，３，５－トリアジン
496-72-0	４－メチルベンゼン－１，２－ジアミン
502-39-6	（３－シアノグアニジノ）（メチル）水銀
50471-44-8	３－（３，５－ジクロロフェニル）－５－メチル－５－ビニル－１，３－オキサゾリジン－２，４－ジオン
506-63-8	ジメチルベリリウム
506-64-9	シアン化銀
506-66-1	Beryllium acetylide
506-77-4	塩化シアン
506-83-2	ブロミド（メチル）水銀
507-55-1	１，３－ジクロロ－１，１，２，２，３－ペンタフルオロプロパン
51-79-6	エチル＝カルバマート
51218-45-2	２－クロロ－２’－エチル－Ｎ－（２－メトキシ－１－メチルエチル）－６’－メチルアセトアニリド
51218-49-6	２－クロロ－２’，６’－ジエチル－Ｎ－（２－プロポキシエチル）アセトアニリド
5124-30-1	ビス（４－イソシアナトシクロヘキサン－１－イル）メタン
513-78-0	炭酸カドミウム
51312-24-4	塩化水銀（１：？）
51594-55-9	（Ｒ）－２－（クロロメチル）オキシラン
51595-71-2	硫化二水銀（Ｉ）
517-16-8	エチル（４－メチル－Ｎ－フェニルベンゼンスルホンアミド）水銀
51908-16-8	２，２’，３，４’，５，５’－ヘキサクロロビフェニル
52-68-6	ジメチル＝２，２，２－トリクロロ－１－ヒドロキシエチルホスホナート
52315-07-8	α－シアノ－３－フェノキシベンジル＝３－（２，２－ジクロロビニル）－２，２－ジメチルシクロプロパンカルボキシラート
52427-13-1	４－（３－メチルオクタン－３－イル）フェノール
52652-59-2	ビス（オクタデカノアト）（ジオキソ）二鉛
52663-58-8	２，３，４’，６－テトラクロロビフェニル
52663-59-9	２，２’，３，４－テトラクロロビフェニル
52663-60-2	２，２’，３，３’，６－ペンタクロロビフェニル
52663-61-3	２，２’，３，５，５’－ペンタクロロビフェニル
52663-62-4	２，２’，３，３’，４－ペンタクロロビフェニル
52663-63-5	２，２’，３，５，５’，６－ヘキサクロロビフェニル
52663-64-6	２，２’，３，３’，５，６，６’－ヘプタクロロビフェニル
52663-65-7	２，２’，３，３’，４，６，６’－ヘプタクロロビフェニル
52663-66-8	２，２’，３，３’，４，５’－ヘキサクロロビフェニル
52663-67-9	２，２’，３，３’，５，５’，６－ヘプタクロロビフェニル
52663-68-0	２，２’，３，４’，５，５’，６－ヘプタクロロビフェニル
52663-69-1	２，２’，３，４，４’，５’，６－ヘプタクロロビフェニル
52663-70-4	２，２’，３，３’，４，５’，６’－ヘプタクロロビフェニル
52663-71-5	２，２’，３，３’，４，４’，６－ヘプタクロロビフェニル
52663-72-6	２，３’，４，４’，５，５’－ヘキサクロロビフェニル
52663-73-7	２，２’，３，３’，４，５，６，６’－オクタクロロビフェニル
52663-74-8	２，２’，３，３’，４，５，５’－ヘプタクロロビフェニル
52663-75-9	２，２’，３，３’，４，５，５’，６’－オクタクロロビフェニル
52663-76-0	２，２’，３，４，４’，５，５’，６－オクタクロロビフェニル
52663-77-1	２，２’，３，３’，４，５，５’，６，６’－ノナクロロビフェニル
52663-78-2	２，２’，３，３’，４，４’，５，６－オクタクロロビフェニル
52663-79-3	２，２’，３，３’，４，４’，５，６，６’－ノナクロロビフェニル
52704-70-8	２，２’，３，３’，５，６－ヘキサクロロビフェニル
52712-04-6	２，２’，３，４，５，５’－ヘキサクロロビフェニル
52712-05-7	２，２’，３，４，５，５’，６－ヘプタクロロビフェニル
52732-72-6	塩基性硫酸鉛
52744-13-5	２，２’，３，３’，５，６’－ヘキサクロロビフェニル
52829-07-9	ビス（２，２，６，６－テトラメチルピペリジン－４－イル）＝デカンジオアート
52888-80-9	Ｓ－ベンジル＝ジプロピルカルバモチオアート
53007-72-0	Mercury alloy, base, Hg,Ca
5333-84-6	１，２，３，６－テトラヒドロ－３－メチル無水フタル酸
53469-21-9	ＰＣＢ　１２４２
53514-39-9	四フッ化ベリリウム酸カルシウム
53555-66-1	３，４，５－トリクロロビフェニル
53684-48-3	ビス（硫酸）ベリリウム二カリウム
53742-07-7	ノナクロロビフェニル
54-64-8	ナトリウム＝エタニド（２－スルフィド－κＳ－ベンゾアト－κＯ）メルクラート（１－）
542-63-2	ジエチルベリリウム
542-75-6	１，３－ジクロロプロパ－１－エン
542-83-6	シアン化カドミウム（ＩＩ）
54230-22-7	２，３，４，６－テトラクロロビフェニル
543-81-7	ベリリウム＝ジアセタート
543-90-8	酢酸カドミウム（ＩＩ）
544-18-3	ギ酸コバルト（ＩＩ）
544-92-3	シアン化銅（Ｉ）
54428-47-6	Mercury alloy, base, Hg,Sr
54464-57-2	１－（２，３，８，８－テトラメチル－１，２，３，４，５，６，７，８－オクタヒドロナフタレン－２－イル）エタン－１－オン
546-67-8	酢酸鉛（ＩＶ）
54862-84-9	三塩化鉄二水和物
55-38-9	チオリン酸Ｏ，Ｏ－ジメチル－Ｏ－［３－メチル－４－（メチルチオ）フェニル］
55-63-0	ニトログリセリン
55-68-5	（ニトラト－κＯ）（フェニル）水銀
552-30-7	１，３－ジオキソ－１，３－ジヒドロイソベンゾフラン－５－カルボン酸
55215-17-3	（±）－２，２’，３，４，６－ペンタクロロビフェニル
55215-18-4	２，２’，３，３’，４，５－ヘキサクロロビフェニル
55285-14-8	Ｎ－ジブチルアミノチオ－Ｎ－メチルカルバミン酸２，３－ジヒドロ－２，２－ジメチル－７－ベンゾ［ｂ］フラニル
55312-69-1	２，２’，３，４，５－ペンタクロロビフェニル
55406-53-6	３－ヨード－２－プロピニル＝ブチルカルバマート
556-52-5	オキシラン－２－イルメタノール
556-61-6	イソチオシアナトメタン
55702-45-9	２，３，６－トリクロロビフェニル
55702-46-0	２，３，４－トリクロロビフェニル
55712-37-3	２，３’，４－トリクロロビフェニル
55720-44-0	２，３，５－トリクロロビフェニル
55722-26-4	オクタクロロビフェニル
558-13-4	テトラブロモメタン
56-23-5	テトラクロロメタン
56-75-7	２，２－ジクロロ－Ｎ－［２－ヒドロキシ－１－（ヒドロキシメチル）－２－（４－ニトロフェニル）エチル］アセトアミド
560121-52-0	（Ｅ）－２－［４－（ｔｅｒｔ－ブチル）フェニル］－２－シアノ－１－（１，３，４－トリメチル－１Ｈ－ピラゾール－５－イル）ビニル＝２，２－ジメチルプロパノアート
56030-56-9	（±）－２，２’，３，４，４’，６－ヘキサクロロビフェニル
56189-09-4	ジオキソ（ジステアラト）二鉛
563-04-2	トリ－３－トリル＝ホスファート
563-47-3	３－クロロ－２－メチルプロパ－１－エン
56558-16-8	２，２’，４，６，６’－ペンタクロロビフェニル
56558-17-9	２，３’，４，４’，６－ペンタクロロビフェニル
56558-18-0	２，３’，４，５’，６－ペンタクロロビフェニル
569-64-2	（４－｛［４－（ジメチルアミノ）フェニル］（フェニル）メチリデン｝シクロヘキサ－２，５－ジエン－１－イリデン）（ジメチル）アンモニウム＝クロリド
57-14-7	１，１－ジメチルヒドラジン
57-92-1	Streptomycin
57018-04-9	O-(2,6-dichloro-p-tolyl) O,O-dimethyl thiophosphate
57044-25-4	（Ｒ）－オキシラン－２－イルメタノール
57142-78-6	オキソ（フタラト）鉛
5743-04-4	酢酸カドミウム（ＩＩ）・二水和物
57465-28-8	３，３’，４，４’，５－ペンタクロロビフェニル
57583-35-4	ビス（２－エチルヘキシル）＝［（ジメチルスタンナンジイル）ビス（スルファンジイル）］ジアセタート
576-26-1	２，６－ジメチルフェノール
57620-29-8	Beryllium phosphide (BeP2)
57706-88-4	３，７－ジメチルオクタン－３－オール
57966-95-7	１－［シアノ（メトキシイミノ）アセチル］－３－エチル尿素
58127-61-0	Beryllium phosphide
584-84-9	４－メチル－１，３－フェニレン＝ジイソシアナート
58500-38-2	Silicic acid, beryllium salt
58570-91-5	Mercury alloy, base, Hg,Ba
58694-78-3	三塩化鉄水和物（２：５）
58865-77-3	ｐ－ｔｅｒｔ－ノニルフェノール
59-50-7	４－クロロ－３－メチルフェノール
5902-76-1	メチル（ペンタクロロフェノラト）水銀
5903-10-6	メチル（プロパノアト－κＯ）水銀
591-27-5	ｍ－アミノフェノール
591-89-9	テトラシアノ水銀酸二カリウム
592-01-8	シアン化カルシウム（ＩＩ）
592-04-1	シアン化水銀（ＩＩ）
592-05-2	λ（２）－プルンバンジカルボニトリル
592-85-8	チオシアン酸水銀（ＩＩ）
59291-64-4	２，２’，３，４，４’，６’－ヘキサクロロビフェニル
59291-65-5	２，３’，４，４’，５’，６－ヘキサクロロビフェニル
593-74-8	ジメチル水銀
594-27-4	テトラメチルスズ
5964-24-9	ナトリウム＝エタニド（４－スルフィド－κＳ－ベンゼンスルホナト）メルクラート（１－）
598-63-0	炭酸鉛（ＩＩ）
