100-20-9	テレフタル酸クロライド	1,4-Benzenedicarbonyl dichloride
227783-28-0		Iron(1+), (.eta.5-2,4-cyclopentadien-1-yl)[(1,2,3,4,5,6-.eta.)-1,3-dimethylbenzene]-, (T-4)-tetrachloroaluminate(1-)
22781-23-3	ベンダイオカルブ	Bendiocarb
2279-64-3	フェニル（ウレイド-κＮ（１））水銀	(Phenylmercurio)urea
2279-76-7	トリプロピルスズクロライド	Tripropyltin chloride
227961-51-5		Aluminum hydroxide
2280-85-5		6-Methyl-DL-tryptophan
228120-10-3		9H-Carbazole, 9-ethenyl-
22831-42-1	ヒ化アルミニウム	Aluminum arsenide (AlAs)
22842-96-2		Zinc nitrate
22853-45-8	シアン化コバルトカリウム錯塩	Cobaltate(6-), decakis(cyano-C)di-, (Co-Co), hexapotassium
22853-46-9		Aluminum, di-.mu.-chlorochlorotriethyldi-
22855-70-5		p-Benzoquinone, 2,5-dichloro-3,6-dihydroxy-, disilver(1+) salt
228731-13-3		(4-Hydroxyphenyl)dimethylsulfonium, tetrakis(2,3,4,5,6-pentafluorophenyl)borate(1-) (1:1)
22877-95-8		Antimony(1+), oxo-
22894-47-9	（ホルムアミド-κＮ）（フェニル）水銀	Phenylmercuric formamide
22904-40-1	鉛（２＋）＝二ナトリウム＝エチレンジアミンテトラアセタート	Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, lead(2+) sodium salt (1:1:2)
22914-58-5	モリブデン酸亜鉛	Molybdenum zinc oxide (Mo2Zn3O9)
229326-16-3		Cuprate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, disodium, (OC-6-21)-
22949-79-7		Aluminum, diethoxy(2,4-pentanedionato-O,O')-, (T-4)-
2294935-60-5		Gallium arsenide (GaAs)
229497-68-1		Zinc, bis[2-(hydroxy-.kappa.O)-3,5-bis(1-phenylethyl)benzoato-.kappa.O]-, (T-4)-
229640-62-4		Barium titanium oxide (BaTiO3)
22967-36-8		Trihydrogen [3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitronaphthalene-1-sulphonato(3-)][4-hydroxy-3-[(2-hydroxy-5-nitrophenyl)azo]-6-(toluene-p-sulphonamido)naphthalene-2-sulphonato(3-)]chromate(3-)
22967-92-6	メチル水銀カチオン	Methylmercury(II) cation
22992-10-5		Aluminum zinc sulfate
22992-79-6		cupric formate dihydrate
22992-96-7	ヘキサデカン酸銅	Copper palmitate
230299-21-5		Bis(hexyleneglycolato)diboron
230299-46-4		Bis(2,4-dimethylpentane-2,4-glycolato)diboron
230309-67-8		Methanesulfonamide, 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]-, lithium salt (1:1)
2305840-66-6		Aluminum oxide
230616-05-4		Aluminum Oxide
23063-51-6		Ammonium, benzyldodecylbis(2-hydroxyethyl)-, salt with pentachlorophenol (1:1)
23087-46-9		Acetic acid, ammonium copper salt
2310-17-0	ホサロン	Phosalone
23100-72-3		Cadmium telluride
23103-98-2	ピリミカーブ	Pirimicarb
23112-96-1		2,6-Dimethoxybenzeneboronic acid
2312-35-8	BPPS	Propargite
2312-76-7	ジニトロクレゾール塩類	Sodium dinitro-ortho-cresolate
23120-99-2		Dimethyltin
23135-22-0	オキサミル	Oxamyl
23149-52-2	チオ硫酸銀	Thiosulfuric acid (H2S2O3), disilver(1+) salt
2315-61-9		4-tert-Octylphenol diethoxylate
2315-67-5		2-(4-tert-Octylphenoxy)ethanol
23162-15-4	トリス（テトラデシルオキシ）ボラン	1-Tetradecanol, triester with boric acid (H3BO3)
23181-49-9		Strychnine, mono[(.+-.)-[(7-bromo-1-naphthyl)sulfinyl]acetate], (+)-
23208-66-4		7.beta.,8.beta.-lactocyanocobalamin
23209-26-9	六シアノ-Ｃ-コバルト酸（４-）	Hexa(cyano-c)cobaltate(4-)
2321-53-1		Ammonium methylarsonate
23232-50-0	硝酸ニッケル(2+)二水和物	Nickel dinitrate dihydrate
2323620-11-5		Polyethylene glycol nonylphenyl ether
23250-73-9	オレイン酸マンガン（ＩＩ）	9-Octadecenoic acid (Z)-, manganese(2+) salt
23255-03-0		Nitrilotriacetic acid, disodium salt, monohydrate
232597-04-5		Aluminate (Al(OH)63-), (OC-6-11)-, magnesium carbonate hydroxide (2:6:1:4)
23272-52-8		Cobalt palmitate
23275-26-5		1-Hexanol, aluminum salt
23277-52-3		Nicotine ethiodide
23292-85-5	（４-オキソペンタノイルオキシ）（トリフェニル）スタンナン	Stannane, (4-oxovaleryloxy)triphenyl-
23292-93-5	亜鉛＝ビス（４-メチルベンゾアート）	Benzoic acid, 4-methyl-, zinc salt
232938-10-2	２-ブタノンオキシムで修飾されたイソホロンジシアネート単独重合体	2-Butanone oxime polymer with 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane
23295-32-1		Chloro(pyridine)bis(dimethylglyoximato)cobalt(III)
23296-41-5		Formamide
23319-66-6	ベンゼニド［２，２'，２''-（ニトリロ-κＮ）トリス（エタノール-κＯ）］水銀（１＋）＝ラクタート	[2,2',2''-Nitrilotri(ethanol)-N,O,O',O'']phenylmercury lactate
23325-63-5		Bis[2-acetoxybenzoato]copper
2332812-08-3		Polyethylene glycol nonylphenyl ether
23355-47-7		Crystal violet
23361-55-9		Chloroxyborane
23361-56-0		Fluoroxyborane
233672-63-4		Silicic acid (H6Si2O7), aluminum salt (1:2)
23371-94-0		Magnesium chromate hydrate
23380-38-3	ｃｉｓ-ジクロロビス（２，２'-ビピリジン）コバルト（III）塩化物	Cobalt(1+), bis(2,2'-bipyridine-.kappa.N1,.kappa.N1')dichloro-, chloride (1:1)
23384-69-2		Cobalt benzenesulphonate
2340-23-0		2,6-Diphenyl-4-methylpyrylium tetrafluoroborate
23406-33-9		Bis[2-[2-[4-[(2-ethoxyethyl)ethylamino]phenyl]vinyl]-1,3,3-trimethyl-3H-indolium] tetrachlorozincate
23408-72-2		Benzothiazolium, 2-[[4-(dimethylamino)phenyl]azo]-3-ethyl-6-methoxy-, trichlorozincate(1-)
23409-02-1		Bis(butyldithiocarbamato-S,S')zinc
23410-25-5	ヘキサデカン酸バリウム	Hexadecanoic acid, barium salt
23413-80-1	アスピリンアルミニウム	Aluminum, bis[2-(acetyloxy)benzoato-O1]hydroxy-
23414-72-4	過マンガン酸亜鉛	Zinc permanganate
2343-53-5		1-Nonadecanol, 12,12,13,13,14,14,15,15,16, 16,17,17, 18,18,19,19,19-heptadecafluoro-, dihydrogen phosphate
23436-05-7	オルトホウ酸バリウム	Orthoboric acid, barium salt
234446-82-3		Magnesium, EDTA cobalt copper iron manganese zinc complexes
2346-99-8	メチルシクロヘキシル-4-クロルフェニルチオホスフェイト	Cerezin
23471-13-8	ブロミド（２-ヒドロキシエチル）水銀	Mercury, bromo(2-hydroxyethyl)-
23471-23-0	メチル ブロモ水銀カルボキシラート	Mercury, bromo(methoxycarbonyl)-
2347635-98-5		Aluminum oxide
23483-74-1		Bromo(2-hydroxyethyl)mercury ammonia salt
2350-11-0		Dodecane, 2-chloro-
23505-41-1	ピリミホス-エチル	Pirimiphos-ethyl
23507-71-3		Borate(1-), bis[2,3-naphthalenediolato(2-)-O,O']-, (T-4)-, hydrogen, compound with N-(1-methylethyl)-2-propanamine (1:1)
235083-88-2		2-Naphthalenecarboxylic acid, 4,4'-methylenebis[3-hydroxy-, zinc salt
2351150-23-5		Benzene, ethenyl-
23525-22-6	シアノジフェニルアルシン	Diphenylarsinecarbonitrile
23532-74-3	９-ブチル-９-ボラビシクロ［３．３．１］ノナン	9-Butyl-9-borabicyclo[3.3.1]nonane
23541-42-6	ビス(N-イミノメチル-L-α-グルタミルオキシ)バリウム	Barium N-formimidoyl-L-glutamate (1:2)
2355-56-8		1-Methyl-2,4,6-triphenylpyridinium tetrafluoroborate
23560-59-0	ヘプテノホス	Heptenophos
23564-05-8	チオファネートメチル	Thiophanate-methyl
2357-51-9		Fast Red B, tetrafluoroborate salt
235772-41-5		Copper hydroxide nitrate (Cu2(OH)3(NO3))
23582-05-0		Bis[(2-diphenylarsinoethyl)phenyl]phosphine
23582-06-1		[2-(Diphenylarsino)ethyl]diphenylphosphine
23587-90-8		Di-tert-butylmercury
23588-87-6		Barium cinnamate
23601-23-2	ジアンチモナート	Antimonate (Sb2O74-)
23603-98-7		Zincate(1-), trichloro-
23606-32-8		Silver ammonium nitrate
23621-79-6	3,5,5-トリメチルヘキサン酸鉛	Hexanoic acid, 3,5,5-trimethyl-, lead salt
2363126-51-4		Iron(III) manganese(II) hexacyanoferrate(II) sodium salts
2363126-59-2		Manganese-(II)-hexacyanomanganate (II) sodium salts
23637-34-5		Strychnine, compound with O,O,S-trimethyl phosphorodithioate (1:1)
236389-21-2		9,9'-Spirobi[9H-fluorene]-2-boronic acid
236408-49-4	（４-ｔｅｒｔ-ブチルフェニル）（トリフェニル）ホスホニウム＝クロリド	[4-(1,1-Dimethylethyl)phenyl]triphenylphosphonium chloride
23642-01-5		Copper, tetrakis[.mu.-[2-(acetyloxy)benzoato-O1:O1']]di-, (Cu-Cu)
2365-48-2	メルカプト酢酸メチル	Acetic acid, mercapto-, methyl ester
23654-14-0	トリブチル（チオシアナト）スタンナン	Tributylthiocyanatostannane
23658-53-9		Trihydrogen  [5-acetamido-4-hydroxy-3-[[2-hydroxy-5-methyl-4-[[2-(sulphooxy)ethyl]sulphonyl]phenyl]azo]naphthalene-2,7-disulphonato(5-)]cuprate(3-)
23658-54-0		Copper, [dihydrogen 5-acetamido-4-hydroxy-3-[[2-hydroxy-4-[(2-hydroxyethyl)sulfonyl]-5-methoxyphenyl]azo]-2,7-naphthalenedisulfonato(2-)]-, mono(hydrogen sulfate) (ester)
23660-44-8		Strychnine, mono[(2-phenanthrylsulfinyl)acetate], (-)-
2367-19-3	四フッ化ホウ酸４-（フェニルアミノ）ベンゼンジアゾニウム	Benzenediazonium, 4-(phenylamino)-, tetrafluoroborate(1-)
23670-59-9		Cobalt chloride
2370-15-2	２，２-ジメチルデカン-１-オール	1-Decanol, 2,2-dimethyl-
23701-62-4		Aziridine, 1,1',1''-phosphinylidynetris[2-methyl-
23713-48-6		Antimony cation (3+)
2372-82-9	Ｎ-（３-アミノプロピル）-Ｎ-ドデシルプロパン-１，３-ジアミン	1,3-Propanediamine, N-(3-aminopropyl)-N-dodecyl-
23720-59-4		Heptachlor
23724-81-4		Bromine
237391-94-5		Chromic(VI) acid
2374-14-3	２，４，６-トリメチル-２，４，６-トリス（３，３，３-トリフルオロプロピル）シクロトリシロキサン	Trifluoropropylmethylcyclotrisiloxane
237429-33-3		Boronic acid, B-(4-mercaptophenyl)-
2374904-81-9		Amines, C12-14-tert-alkyl, methyl phosphates
2375-96-4		1,4-Dibromo-2,5-bis(trifluoromethyl)benzene
23758-42-1		Nicotine, oxalate
23758-43-2		Nicotine gentisic acid salt
23759-24-2		Zinc diethylenetriaminepentaacetate
2376284-81-8		Antimony pentoxide
23774-70-1	１，２，５，６，９，１０-ヘキサブロモシクロドデカン	1,2,5,6,9,10-Hexabromocyclododecane
237755-05-4		Barium titanium oxide (BaTiO3)
2377572-89-7		Aluminum oxide
23777-80-2	ヘキサボラン（１０）	Hexaborane
2377780-57-7		Zinc oxide
2379331-66-3		Antimony sulfide (Sb2S3)
2385-85-5	ミレックス	Mirex
23850-94-4	トリス(2-エチルヘキサン酸)ブチルスズ	Stannane, butyltris[(2-ethyl-1-oxohexyl)oxy]-
23852-73-5	２，２'-チオ-ビス（４-オクチルフェノール）ニッケル塩	2,2'-Bis(4-octylphenol)monosulfide nickel complex
23854-38-8	ペンタフルオロ(フルオロスルファト-O)アンチモン酸水素	Hydrogen pentafluoro(fluorosulphato-O)antimonate(1-)
2386-52-9	メタンスルホン酸銀(I)	Methanesulfonic acid, silver(1+) salt
2386-62-1	ジブロモエチルアルミニウム	Aluminum, dibromoethyl-
2386-64-3	エチルマグネシウムクロリド	Magnesium, chloroethyl-
23878-46-8		Diarsenic
2388-00-3	ヘキサエチルジプルンバン	Diplumbane, hexaethyl-
239097-11-1	ナトリウム＝水素＝クロロフタラート、無水フタル酸、塩化コバルト及び尿素の反応生成物	Reaction product of sodium hydrogen chlorophthalate, phthalic anhydride, cobalt chloride and urea
23911-56-0	１－（３－メチル－１－ベンゾフラン－２－イル）エタノン	Ethanone, 1-(3-methyl-2-benzofuranyl)-
23940-36-5		Pentasodium 2-(2-oxido-3,5-disulphonatophenoxy)-1,3,2-benzodioxastibole-4,6-disulphonate
23949-78-2		Cobalt(1+), [N,N-bis(2-aminoethyl)-1,2-ethanediamine-N,N',N'',N'''][carbonato(2-)-O,O']-, perchlorate
2395-00-8	ペルフルオロオクタン酸カリウム	Potassium perfluorooctanoate
23950-58-5	プロピザミド	Pronamide
2396648-06-7		Spiro[fluorene-9,9'-xanthen]-2'-ylboronic acid
23970-06-1		Copper, [1,3,8,10,15,17,22,24-octachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-
23970-24-3		Cuprate(3-), [3-(hydroxy-.kappa.O)-4-[[2-(hydroxy-.kappa.O)-5-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo-.kappa.N1]-2,7-naphthalenedisulfonato(5-)]-, trihydrogen
2399-81-7		Acetic acid, nitrilotri-, beryllium salt (1:1)
2399-85-1		Tripotassium nitrilotriacetate
2399-86-2		Dipotassium hydrogen nitrilotriacetate
24004-07-7		Resmethrin
2400970-89-8		Carbamodithioic acid, bis(mixed 2-ethylhexyl and 2-methylbutyl and pentyl) derivatives, antimony(3+) salts
24012-08-6		Carbonic acid, ammonium zinc salt
240141-93-9		Aluminum antimony silicon tin oxide
24017-47-8	トリアゾホス	Triazofos
24046-61-5		Strychnine, thiosulfate (2:1)
240494-70-6	2,2-ジメチル-3-(プロパ-1-エン-1-イル)シクロプロパンカルボン酸＝2,3，5，6-テトラフルオロ-4-(メトキシメチル)ベンジル	Metofluthrin
240494-71-7		2,3,5,6-Tetrafluoro-4-(methoxymethyl)benzyl (1R,3R)-2,2-dimethyl-3-[(1Z)-prop-1-en-1-yl]cyclopropanecarboxylate
2406-65-7	モノブチルスズ	Butyltin
24067-17-2		4-Nitrophenylboronic acid
2407640-74-6		Aluminum oxide
2408-36-8	シアン化リチウム	Lithium cyanide
2408-86-8	カドミウム＝ジヘキサノアート	Caproic acid, cadmium salt
2408592-97-0		Polyethylene glycol nonylphenyl ether
2409067-85-0		Lead(II) tellurite
24094-93-7		Chromium nitride (CrN)
24111-17-9	クロロフィルb銅(2+)	Copper, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-13-formyl-21-(methoxycarbonyl)-4,8,18-trimethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3.alpha.(2E,7S*,11S*),4.beta.,21.beta.]]]-
241166-01-8		Aluminum sodium silicate
24124-25-2	(9Z,12Z)-9,12-オクタデカジエン酸トリブチルスズ	Tributyltin linoleate
24124-40-1	1-アミノ-4-(3-アミノ-2,4,6-トリメチル-5-スルホアニリノ)-9,10-ジヒドロー9,10-ジオキソアントラセン-2-スルホン酸	1-Amino-4-(3-amino-2,4,6-trimethyl-5-sulphoanilino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonic acid
24151-25-5	シアン化ニッケルカリウム錯塩	Nickelate(4-), hexakis(cyano-.kappa.C)-, tetrapotassium, (OC-6-11)-
24151-54-0	４-｛［２-（アセチルオキシ）エチル］（ベンジル）アミノ｝-２-クロロ-５-（２-メトキシエトキシ）ベンゼンジアゾニウム＝テトラフルオロボラヌイド	4-[[2-(Acetoxy)ethyl](phenylmethyl)amino]-2-chloro-5-(2-methoxyethoxy)benzenediazonium tetrafluoroborate
24175-05-1		Aluminium tris[2-[[3-(trifluoromethyl)phenyl]amino]nicotinate]
24175-85-7		Acetic acid, palladium(2+) salt
24189-36-4	トルエン　塩化アルミニウム　塩化水素コンプレックス	Toluene, compound with hydrogen tetrachloroaluminate(1-) (1:1)
2420-97-5	4-メチル安息香酸カドミウム(II)	Benzoic acid, 4-methyl-, cadmium salt
2420-98-6	カドミウム＝ビス（２-エチルヘキサノアート）	Hexanoic acid, 2-ethyl-, cadmium salt (2:1)
24212-54-2	ジ-μ-カルボニルテトラカルボニルビス（トリフェニルホスフィン）二コバルト	Di-.mu.-carbonyltetracarbonylbis(triphenylphosphine)dicobalt
24215-94-9	ビス［４-［（４-クロロ-１-ヒドロキシ-２-ナフチル）アゾ］-Ｎ，Ｎ'-ジメチル-５-ヒドロキシベンゼン-１，３-ジスルホン酸（２-）］コバルト酸（１-）ナトリウム	Sodium bis[4-[(4-chloro-1-hydroxy-2-naphthyl)azo]-N,N'-diethyl-5-hydroxybenzene-1,3-disulphonamidato(2-)]cobaltate(1-)
24216-05-5	３，４-ビス（２，２，３，３，４，４，５，５，６，６，７，７，８，８，８-ペンタデカフルオロオクタンアミド）ベンゼン-１-スルホニル＝クロリド	3,4-Bis[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]benzenesulphonyl chloride
24228-46-4		Aluminum, tris[.mu.-(dimethylphosphino)]hexaethyltri-, cyclo-
2424-53-5		Aniline sulphate (1:1)
2425-06-1	カプタホール	Captafol
2425-66-3		1-Chloro-2-nitropropane
24256-56-2		Chromium, triaqua[[hydrogen 3-hydroxy-4-[[5-hydroxy-3-methyl-1-(m-sulfophenyl)pyrazol-4-yl]azo]-1-naphthalenesulfonato](3-)]-, monosodium salt
2426-08-6	ブチルグリシジルエーテル	n-Butyl glycidyl ether
24261-23-2	バナジン酸トリオクチル	Tris(octan-1-olato)oxovanadium
24267-55-8		Phosphorus-32
24270-51-7		Nickel telluride
2428630-86-6		Dysprosium arsenide
2429-74-5	ダイレクト　ブルー15	C.I. Direct Blue 15
24291-45-0	ビス（トリブタン－１－イルスタンニル）＝ブタ－２－エンジオアート	5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene
24291-51-8	［プロパン-２，２-ジイルビス（４，１-フェニレンオキシ）］ビス（トリブチルスタンナン）	[Isopropylidenebis(p-phenyleneoxy)]bis[tributylstannane]
2430-46-8		Tolboxane
24304-00-5	窒化アルミニウム	Aluminum nitride (AlN)
24304-54-9		1-H-Benzimidazole, zinc salt
24305-22-4		Stannate (SnO32-), disodium
24305-97-3		Chromate(1-), bis[N-[8-[[5-(aminosulfonyl)-2-hydroxyphenyl]azo]-7-hydroxy-1-naphthalenyl]acetamidato(2-)]-, sodium
24308-84-7	ベンゼンスルフィン酸, 亜鉛塩	Benzenesulfinic acid, zinc salt
243121-01-9		Hexamethylene-1,6-diisocyanate
24325-23-3		D-Ribofuranose, 5-(dihydrogen phosphate), barium salt
24345-02-6	ベンゼンスルフィン酸, 4-メチル-, 亜鉛塩	Benzenesulfinic acid, 4-methyl-, zinc salt
24345-60-6	カドミウム＝ジメタクリラート	Cadmium methacrylate
24359-04-4	ビス(マレイン酸=1-テトラデシル)亜鉛	2-Butenedioic acid (Z)-, monotetradecyl ester, zinc salt
24363-37-9	バリウム=イソプロポキシド	Barium isopropoxide
2437-25-4	ラウロニトリル	Dodecanenitrile
2437-29-8	マラカイトグリーンシュウ酸塩	Methanaminium, N-[4-[[4-(dimethylamino)phenyl]phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, ethanedioate, ethanedioate (2:2:1)
2437-54-9	1,4,6-トリクロロナフタレン	1,4,6-Trichloronaphthalene
2437-55-0	1,4,5-トリクロロナフタレン	1,4,5-Trichloronaphthalene
2437-79-8	2,2',4,4'-テトラクロロビフェニル	2,2',4,4'-Tetrachlorobiphenyl
2437245-44-6		Lead tungsten oxide (PbWO4)
24377-84-2		Phosphorus pentoxide
24378-32-3		Barium pentacyanonitrosylferrate(III)
24379-26-8	［（２-ヒドロキシベンゾイル）オキシ］（トリフェニル）スタンナン	Triphenyl(salicyloyloxy)stannane
24381-58-6		cupric acetate cu-64
24381-60-0		chromic phosphate p-32
24381-61-1		chromic phosphate cr-51
24388-23-6		Phenylboronic acid pinacol ester
24389-25-1	ジフルオリドりん酸リチウム	Difluoridophosphoric acid lithium salt
2439-01-2	6-メチル-1,3-ジチオロ[4,5-b]キノキサリン-2-オン	Chinomethionate
2439-10-3	1-ドデシルグアニジニウム=アセタート	Dodecylguanidine monoacetate
2439-35-2	２-アクリル酸ジメチルアミノエチル	2-Propenoic acid, 2-(dimethylamino)ethyl ester
243982-82-3		2,2',4,5'-Tetrabromodiphenyl ether
243982-83-4		Benzene, 1,2,3-tribromo-4-(2,4,6-tribromophenoxy)-
2440-29-1	（ブチラト-κＯ）（フェニル）水銀	Mercury, (butyrato)phenyl-
2440-34-8	（４-メチル-Ｎ-フェニルベンゼンスルホンアミダト-Ｎ）フェニル水銀	4-Methyl-N-phenyl-N-phenylmercurybenzenesulfonamide
2440-40-6	塩化プロピル水銀	Chloropropylmercury(2+)
2440-42-8	エチル（ヨージド）水銀	Ethyliodomercury
2440-45-1	リン酸水素ビス(エチル水銀)	Bis(ethylmercury) hydrogen phosphate
244193-52-0		1H-Imidazolium, 1-methyl-3-octyl-, tetrafluoroborate(1-) (1:1)
244205-40-1		2-Bromophenylboronic acid
24423-68-5	ジイソアミル水銀	Diisoamylmercury
244235-92-5		Lauryldimethylamine oxide
244244-86-8		C.I. Pigment Blue 15
24432-06-2		1,3,2-Dioxastannepin-4,7-dione, 2,2-dibutyl-
2444-82-8	ブチルジクロロアルミニウム	Butyldichloroaluminium
24440-79-7		Nickel arsenide (NiAs)
2445-07-0		Urbacid
24468-13-1	クロロぎ酸2-エチルヘキシル	2-Ethylhexyl chloroformate
24468-28-8	シアヌル酸の亜鉛塩	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, zinc salt
244761-29-3	リチウム＝ビス(オキサラト)ボラート	Borate(1-), bis[ethanedioato(2-)-.kappa.O1,.kappa.O2]-, lithium, (T-4)-
244778-79-8		Zinc pyrithione
24478-72-6		1,2,3,4-Tetrachlorodibenzofuran
24478-73-7		1,2,4-Trichlorodibenzofuran
24478-74-8		2,4-Dichlorodibenzofuran
24484-01-3		Copper, chloro[tris(2-chloroethyl) phosphite-P]-
24493-51-4		1,3,2-Dioxastannepin-4,7-dione, 2,2-dioctyl-
24493-83-2		cis-2-Chloro-9-(3-dimethylaminopropylidene)selenoxanthene hydrochloride
24493-84-3		(3E)-3-(2-Chloro-9H-selenoxanthen-9-ylidene)-N,N-dimethyl-1-propanamine hydrochloride (1:1)
24495-43-0		8-Chloro-10-(4-methylpiperazino)-10,11-dihydrodibenzo(b,f)selenepin maleate
24495-59-8		Piperazine, 1-(8-chloro-10,11-dihydrodibenzo(b,f)selenepin-10-yl)-4-methyl-
2450-57-9		3-Methyl-N,N,N-triisopentylbutan-1-aminium, salt with 2,4,6-trinitrophenol (1:1)
245064-40-8		Aluminum chloride hydroxide
2451-62-9	イソシアヌル酸トリグリシジル	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris(oxiranylmethyl)-
245125-70-6		Octhilinone
24518-47-6		Chlorine oxide (ClO2)
2452-01-9	ドデカン酸亜鉛	Dodecanoic acid, zinc salt (2:1)
24530-53-8		1-Naphthalenesulfonic acid, 2-[(2-hydroxy-1-naphthalenyl)azo]-, barium salt (1:1)
2455522-12-8		Zinc oxide
24557-04-8		Barium divalerate
24558-49-4		Cadmium acetate
24564-52-1	四フッ化ホウ酸４-（ジメチルアミノ）ベンゼンジアゾニウム	Benzenediazonium, 4-(dimethylamino)-, tetrafluoroborate(1-)
245654-30-2		2-Propanol aluminum salt
245657-50-5		2,2',3,3',4,5-Hexabromobiphenyl
245657-57-2		2,2',3,4,5,5',6-Heptabromobiphenyl
245678-20-0		Potassiun sodium [2-[[[[3-[[4-fluoro-6-[[2-[[4-fluoro-6-[[4-[(4,6,8-trisulfo-2-naphthyl)azo]phenyl]amino]-1,3,5-triazin-2-yl]amino]-1-methylethyl]amino]-1,3,5-triazin-2-yl]amino]-2-(hydroxy-.kappa.O)-5-sulfophenyl]azo-.kappa.N2]phenylmethyl]azo-.kappa.N1]-4-sulfobenzoate cuprate
2457-01-4	2-エチルヘキサン酸バリウム	Hexanoic acid, 2-ethyl-, barium salt (2:1)
245727-62-2		Cadmium acetate
245735-90-4		Mepiquat pentaborate
24577-34-2	ビス［（２-エチル-１-オキソヘキシル）オキシ］ジオクチルスズ	Bis[(2-ethyl-1-oxohexyl)oxy]dioctylstannane
24579-90-6	塩化(2-ヒドロキシ-5-ニトロフェニル)水銀	Mercury, chloro(2-hydroxy-5-nitrophenyl)-
24579-91-7	クロロ（２-ヒドロキシ-３，５-ジニトロフェニル）水銀	Chloro(2-hydroxy-3,5-dinitrophenyl) mercury
24580-89-0		Nicotine, pivalate
246023-54-1		2,5-Dimethyl-4-methoxybenzeneboronic acid
24606-42-6		Dipotassium zinc diphosphate
24613-89-6	クロム酸クロム	Chromic acid (H2CrO4), chromium(3+) salt (3:2)
246180-99-4		Dicumyl peroxide
24623-77-6		Aluminum hydroxide oxide (Al(OH)O)
246234-80-0	（３，３，４，４，５，５，６，６，７，７，８，８，９，９，１０，１０，１０-ヘプタデカフルオロデシル）トリス［（プロパン-２-イル）オキシ］シラン	(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl)triisopropoxysilane
24626-20-8	二フッ化三塩化アンチモン	Antimony chloride fluoride (SbCl3F2)
24636-31-5	メタクリル酸=3-（クロロジメチルシリル）プロピル	2-Propenoic acid, 2-methyl-, 3-(chlorodimethylsilyl)propyl ester
24640-21-9		Nickelate(1-), trichloro-, ammonium
24640-76-4		Zinc chloride tetrahydrofuran complex
24645-45-2		Zinc, bis(O,O-dibutyl phosphorodithioato-)-
24646-85-3	窒化バナジウム	Vanadium nitride (VN)
24660-23-9	ビス(マレイン酸デシル)ジブチルスズ	Decyl (Z,Z)-6,6-dibutyl-4,8,11-trioxo-5,7,12-trioxa-6-stannadocosa-2,9-dienoate
24669-13-4	２，２'，２''，２'''-（エタン-１，２-ジイルジニトリロ）四酢酸のクロム塩	Chromium N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinate
2467-02-9		Phenol, 2,2'-methylenebis-
2467-03-0		Phenol, 2-[(4-hydroxyphenyl)methyl]-
2467-12-1	トリス（オクチルオキシ）ボラン	Boric acid (H3BO3), trioctyl ester
2467-13-2	トリス［（２-エチルヘキシル）オキシ］ボラン	Tris(2-ethylhexyl) orthoborate
2467-15-4	トリス（ドデシルオキシ）ボラン	Tridodecyl borate
2467-16-5	トリス（シクロヘキシルオキシ）ボラン	Boric acid (H3BO3), tricyclohexyl ester
2467-18-7	ほう酸トリベンジル	Tribenzyl borate
24682-72-2		Zinc, bis[O,O-bis(2-ethylhexyl) phosphorodithioato-.kappa.S,.kappa.S']-, (T-4)-
24683-32-7		Aluminum, dihydro(2-methyl-1,3-butadienyl)-
24687-31-8	３-エチル-２-［３-（３-エチル-１，３-ベンゾセレナゾール-２（３Ｈ）-イリデン）-２-メチルプロパ-１-エン-１-イル］-１，３-ベンゾセレナゾール-３-イウム＝ブロミド	Benzoselenazolium, 3-ethyl-2-[3-(3-ethyl-2(3H)-benzoselenazolylidene)-2-methyl-1-propenyl]-, bromide
